control_id,screen_id,label,test_id,html_type,input_mode,value_type,commit_trigger,validation_trigger,drawer_or_inline,ime_relevant,save_reload_relevant,enabled_condition,source_file,status,notes
AUI-C-0123,SCR-13,Appurtenance LEFT_WALL_RAILING presence,appurtenance-LEFT_WALL_RAILING-presence,select,select,enum,change,change,drawer,NO,YES,always,DeckAppurtenanceInputPanel.tsx,NOT_VERIFIED
AUI-C-0124,SCR-13,Appurtenance RIGHT_WALL_RAILING presence,appurtenance-RIGHT_WALL_RAILING-presence,select,select,enum,change,change,drawer,NO,YES,always,DeckAppurtenanceInputPanel.tsx,NOT_VERIFIED
AUI-C-0125,SCR-13,Appurtenance MEDIAN presence,appurtenance-MEDIAN-presence,select,select,enum,change,change,drawer,NO,YES,always,DeckAppurtenanceInputPanel.tsx,NOT_VERIFIED
AUI-C-0126,SCR-13,Appurtenance OPTIONAL_BARRIER presence,appurtenance-OPTIONAL_BARRIER-presence,select,select,enum,change,change,drawer,NO,YES,always,DeckAppurtenanceInputPanel.tsx,NOT_VERIFIED
AUI-C-0127,SCR-13,Appurtenance start station,appurtenance-*-startStation,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,itemProvided,DeckAppurtenanceInputPanel.tsx,NOT_VERIFIED,"per slot when PROVIDED"
AUI-C-0128,SCR-13,Appurtenance end station,appurtenance-*-endStation,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,itemProvided,DeckAppurtenanceInputPanel.tsx,NOT_VERIFIED
AUI-C-0129,SCR-13,Appurtenance transverse offset,appurtenance-*-transverseOffset,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,itemProvided,DeckAppurtenanceInputPanel.tsx,NOT_VERIFIED
AUI-C-0130,SCR-13,Appurtenance width,appurtenance-*-width,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,itemProvided,DeckAppurtenanceInputPanel.tsx,NOT_VERIFIED
AUI-C-0131,SCR-13,Appurtenance height,appurtenance-*-height,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,itemProvided,DeckAppurtenanceInputPanel.tsx,NOT_VERIFIED
AUI-C-0132,SCR-13,Appurtenance material ref,appurtenance-*-materialRef,CompositionAwareInput,text,string,Enter/blur,onValueChange,drawer,YES,YES,itemProvided,DeckAppurtenanceInputPanel.tsx,NOT_VERIFIED
AUI-C-0133,SCR-13,Appurtenance unit weight,appurtenance-*-unitWeight,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,itemProvided,DeckAppurtenanceInputPanel.tsx,NOT_VERIFIED
AUI-C-0134,SCR-14,Haunch per-girder presence,haunch-presence-*,select,select,enum,change,change,drawer,NO,YES,always,RcDeckHaunchInputPanel.tsx,NOT_VERIFIED,"NOT_PROVIDED/EXPLICIT_NONE/PROVIDED per girder"
AUI-C-0135,SCR-14,Haunch shape type,haunch-shapeType,select,select,enum,change,change,drawer,NO,YES,haunchProvided,RcDeckHaunchInputPanel.tsx,NOT_VERIFIED,"RECT/TRAPEZOID"
AUI-C-0136,SCR-14,Haunch height input,haunch-height,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,haunchProvided,RcDeckHaunchInputPanel.tsx,NOT_VERIFIED
AUI-C-0137,SCR-14,Haunch top width input,haunch-topWidth,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,haunchProvided,RcDeckHaunchInputPanel.tsx,NOT_VERIFIED
AUI-C-0138,SCR-14,Haunch bottom width input,haunch-bottomWidth,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,haunchProvided && shape==="TRAPEZOID",RcDeckHaunchInputPanel.tsx,NOT_VERIFIED,"optional; defaults to topWidth"
AUI-C-0139,SCR-04,Step bar: start button,stepbar-start,button,button,action,click,click,inline,NO,NO,status!=="locked",ApolloPhase1Shell.tsx:1605,NOT_VERIFIED
AUI-C-0140,SCR-04,Step bar: basics button,stepbar-basics,button,button,action,click,click,inline,NO,NO,status!=="locked",ApolloPhase1Shell.tsx:1605,NOT_VERIFIED
AUI-C-0141,SCR-04,Step bar: nodes button,stepbar-nodes,button,button,action,click,click,inline,NO,NO,status!=="locked",ApolloPhase1Shell.tsx:1605,NOT_VERIFIED
AUI-C-0142,SCR-04,Step bar: members button,stepbar-members,button,button,action,click,click,inline,NO,NO,status!=="locked",ApolloPhase1Shell.tsx:1605,NOT_VERIFIED
AUI-C-0143,SCR-04,Step bar: supportsMaterials button,stepbar-supportsMaterials,button,button,action,click,click,inline,NO,NO,status!=="locked",ApolloPhase1Shell.tsx:1605,NOT_VERIFIED
AUI-C-0144,SCR-04,Step bar: validation button,stepbar-validation,button,button,action,click,click,inline,NO,NO,status!=="locked",ApolloPhase1Shell.tsx:1605,NOT_VERIFIED
AUI-C-0145,SCR-04,GuidedDetailDrawer: close button,drawer-close,button,button,action,click,click,drawer,NO,NO,drawerOpen,GuidedDetailDrawer.tsx,NOT_VERIFIED
AUI-C-0146,SCR-04,GuidedDetailDrawer: save button,drawer-save,button,button,action,click,click,drawer,NO,YES,drawerOpen,GuidedDetailDrawer.tsx,NOT_VERIFIED
AUI-C-0147,SCR-04,GuidedDetailDrawer: complete button,drawer-complete,button,button,action,click,click,drawer,NO,NO,drawerOpen,GuidedDetailDrawer.tsx,NOT_VERIFIED
AUI-C-0148,SCR-04,Keyboard shortcut: Ctrl+Z,keyboard-undo,keyboard,keyboard,action,keydown,keydown,inline,NO,YES,!isApolloCompositionActive,ApolloPhase1Shell.tsx:511,NOT_VERIFIED
AUI-C-0149,SCR-04,Keyboard shortcut: Ctrl+Y,keyboard-redo,keyboard,keyboard,action,keydown,keydown,inline,NO,YES,!isApolloCompositionActive,ApolloPhase1Shell.tsx:516,NOT_VERIFIED
AUI-C-0150,SCR-04,Keyboard shortcut: Ctrl+Shift+Z,keyboard-redo-shift,keyboard,keyboard,action,keydown,keydown,inline,NO,YES,!isApolloCompositionActive,ApolloPhase1Shell.tsx:516,NOT_VERIFIED
AUI-C-0151,SCR-04,Keyboard shortcut: Ctrl+A,keyboard-select-all,keyboard,keyboard,action,keydown,keydown,inline,NO,NO,!isApolloCompositionActive,ApolloPhase1Shell.tsx:521,NOT_VERIFIED
AUI-C-0152,SCR-04,Keyboard shortcut: Ctrl+C,keyboard-copy,keyboard,keyboard,action,keydown,keydown,inline,NO,NO,!isApolloCompositionActive,ApolloPhase1Shell.tsx:526,NOT_VERIFIED
AUI-C-0153,SCR-04,Keyboard shortcut: Ctrl+V,keyboard-paste,keyboard,keyboard,action,keydown,keydown,inline,NO,NO,!isApolloCompositionActive,ApolloPhase1Shell.tsx:531,NOT_VERIFIED
