blocker_id,source_document,affected_area,current_status,exact_missing_evidence,external_dependency,required_software,required_tool,required_version,required_license,required_machine,exact_input,exact_procedure,exact_output,checksum_requirement,acceptance_criteria,numeric_implementation_impact,source_locator,source_field_notes,ea_enablement_reference,ea_closure_status,planned_stage,notes
AN-BLK-009,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,CSV PDF and mock authority,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Authoritative native result lineage plus producer version full component coverage rounding rules and proof that mock or derived exports cannot bypass source freshness,Installed Analyzer SPACER STATICS on authorized machine,Selected external identity plus repository IF3 ingestion and export paths,Selected external identity plus repository IF3 ingestion and export paths,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement,Installed Analyzer SPACER STATICS on authorized machine,One checksum-fixed valid run with native output IF3 CSV PDF and mock-negative fixture,Use authorized native output copies and run exports in an isolated repository project without altering raw artifacts,Native outputs IF3 resource derived exports diagnostics and source binding record,SHA-256 of executable input native result IF3 CSV PDF and retained logs,IF3 binds the fresh native result while CSV PDF and mock data remain derived non-authoritative and omitted or rounded fields are declared,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv:AN-BLK-009,safe_acquisition_procedure->exact_procedure; required_executable_or_service->required_software; baseline fields from EA-00 snapshot,EA-01 harness; EA-03 external run package (TOOLING_COMPLETE_NOT_MACHINE_EVIDENCE),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-02,safe_acquisition: Use authorized native output copies and run exports in an isolated repository project without altering raw artifacts; checksum: SHA-256 of executable input native result IF3 CSV PDF and retained logs
AN-BLK-010,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Load case and combination mapping,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Native and repository identifiers case and combination components coefficients ordering result contexts and unsupported behavior,Installed Analyzer SPACER STATICS on authorized machine,Selected external identity plus identified repository import adapter,Selected external identity plus identified repository import adapter,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement,Installed Analyzer SPACER STATICS on authorized machine,Checksum-fixed one-case fixture and asymmetric two-case one-combination fixture,Use copied non-production fixtures preserve native outputs read-only and independently review mappings,Native inputs outputs logs IF3 load contexts diagnostics and mapping worksheets,SHA-256 of executable fixtures native outputs imported resources and worksheets,Case mapping is one-to-one and combination is explicitly mapped with coefficients or rejected without flattening,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv:AN-BLK-010,safe_acquisition_procedure->exact_procedure; required_executable_or_service->required_software; baseline fields from EA-00 snapshot,EA-01 harness; EA-03 external run package (TOOLING_COMPLETE_NOT_MACHINE_EVIDENCE),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-02,safe_acquisition: Use copied non-production fixtures preserve native outputs read-only and independently review mappings; checksum: SHA-256 of executable fixtures native outputs imported resources and worksheets
GOLD-BLK-001,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,GOLD-001 through GOLD-005,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Independent analytical derivations signed conventions checksum manifests per-quantity error bounds and approvals,NONE,NOT_APPLICABLE,Independent calculation medium and SHA-256 tool,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,NOT_APPLICABLE,NOT_APPLICABLE_NOT_SPECIFIED,Checksum-fixed models for GOLD-001 through GOLD-005 from examples/verification/beam/*.json and checksum-fixed axial model,Derive without invoking Apollo output then perform independent dimensional equilibrium and assumption review,One immutable derivation package per case with model derivation workbook signed conventions and expected SHA-256 manifest,SHA-256 over executable inputs outputs and retained artifacts,Every expected quantity follows from the fixed input with correct units signs ends and predeclared justified tolerance and two independent derivations agree for each expected quantity,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/07_golden/golden_blocker_register.csv:GOLD-BLK-001,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-02 analytical golden package (COMPLETE; TOOLING_REVIEWED_NOT_GOLD_APPROVED),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-03,owner: Golden Custodian; acquisition: Derive without invoking Apollo output then perform independent dimensional equilibrium and assumption review; closure: D-005 combined bar
GOLD-BLK-002,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,All numeric Goldens,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Per-quantity absolute relative zero threshold internal/display precision rounding and unit-conversion justification,NONE,NOT_APPLICABLE,Independent calculation and comparison specification,MUST_BE_CAPTURED_AND_FROZEN,NOT_APPLICABLE,NOT_APPLICABLE_NOT_SPECIFIED,Catalog quantity list from golden_case_catalog.csv for all numeric Goldens,Establish error budget before comparison and independently review without observing mismatch,Approved tolerance worksheet linked to each catalog quantity with per-quantity absolute relative zero threshold precision rounding and unit-conversion facets,SHA-256 manifest over all retained evidence artifacts,All tolerance facets are nonblank justified dimensionally and frozen before first comparison,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/07_golden/golden_blocker_register.csv:GOLD-BLK-002,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-02 analytical golden package (COMPLETE; TOOLING_REVIEWED_NOT_GOLD_APPROVED),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-03,owner: Golden Custodian; acquisition: Establish error budget before comparison and independently review without observing mismatch
GOLD-BLK-003,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,GOLD-006 and GOLD-010,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Fixed reference product module version build checksums native inputs outputs settings conventions mappings and three repeat runs,AN-BLK-001,NOT_APPLICABLE,Selected reference software plus checksum and comparison tools,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement,NOT_APPLICABLE_NOT_SPECIFIED,Checksum-fixed native and repository models for GOLD-006 and GOLD-010,Follow DS-06 safe machine-probe procedure and retain three isolated run bundles,Licensed immutable evidence bundle per case with executable input output SHA-256 manifests and three isolated run records,SHA-256 over executable inputs outputs and retained artifacts,Three runs reproduce under the approved policy and every value is traceable to fixed native output,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/07_golden/golden_blocker_register.csv:GOLD-BLK-003,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-02 tooling partial; EA-03 runbook; external capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-03,owner: Reference Software Owner; acquisition: Follow DS-06 safe machine-probe procedure and retain three isolated run bundles
GOLD-BLK-004,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,GOLD-011,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Independent parent oracle canonicalization rules checksummed input and expected artifacts and approval decision,NONE,NOT_APPLICABLE,Repository serializer and SHA-256 tool,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,NOT_APPLICABLE,NOT_APPLICABLE_NOT_SPECIFIED,Checksum-fixed canonical bridge analysis document from independently approved contract fixture,Generate from independently approved contract fixture and review canonicalization before execution,Canonical serialization package with semantic equality specification variable-field exclusions and parent Golden link,SHA-256 manifest over all retained evidence artifacts,Round trip preserves all governed semantics and expected artifact does not originate solely from implementation output,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/07_golden/golden_blocker_register.csv:GOLD-BLK-004,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-02 regression/serialization tooling; organizational approval BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-03,owner: Contract Owner; acquisition: Generate from independently approved contract fixture and review canonicalization before execution
GOLD-BLK-005,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,GOLD-007 through GOLD-009,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Approved four five and six main-girder source models with units mappings provenance and licensed reference results,AN-BLK-001,NOT_APPLICABLE,Selected reference software model mapping and checksum tools,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement,NOT_APPLICABLE_NOT_SPECIFIED,Lawful non-production four five and six main-girder bridge models,Acquire approved non-production models lawfully then run fixed reference identity per DS-06,Three complete model/evidence bundles with native and repository representations and three-run licensed reference results,SHA-256 manifest over all retained evidence artifacts,Topology materials supports loads conventions and three-run results are complete and independently approved,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/07_golden/golden_blocker_register.csv:GOLD-BLK-005,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-02 tooling partial; EA-03 runbook; external capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-03,owner: Bridge Model Owner; acquisition: Acquire approved non-production models lawfully then run fixed reference identity per DS-06
GOLD-BLK-006,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,GOLD-012 through GOLD-014,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Independent negative contracts exact status diagnostics absence rules checksummed fixtures and approval,NONE,NOT_APPLICABLE,Schema validator IF3 gate tests and SHA-256 tool,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,NOT_APPLICABLE,NOT_APPLICABLE_NOT_SPECIFIED,IF3 staleness export authority and repository schema contracts for GOLD-012 GOLD-013 and GOLD-014,Derive expected rejection from schema or authority contract before running implementation and review independently,One immutable negative evidence package per case with source and expected rejection artifacts,SHA-256 manifest over all retained evidence artifacts,Named rejection occurs with no authoritative output and cannot be reclassified as a successful Golden,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/07_golden/golden_blocker_register.csv:GOLD-BLK-006,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-02 regression/serialization tooling; organizational approval BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-03,owner: Contract Owner; acquisition: Derive expected rejection from schema or authority contract before running implementation and review independently
GOLD-BLK-007,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,GOLD-015,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Adopted DS-02 through DS-05 numeric sources equations factors applicability and an independent design-verification derivation,BLK-S1-002;BLK-S1-004;BLK-S1-005;PKG-R7-V;PKG-DS03;PKG-DS04,NOT_APPLICABLE,Licensed standards evidence independent calculation and checksum tools,MUST_BE_CAPTURED_AND_FROZEN,Authorized access to applicable standards,NOT_APPLICABLE_NOT_SPECIFIED,Checksum-fixed design input and adopted DS-02 through DS-05 source values,Clear all predecessor source blockers then derive without Apollo output and independently review,Immutable source manifest input derivation expected quantities and verdict with SHA-256,SHA-256 over executable inputs outputs and retained artifacts,Every numeric and equation traces to adopted source and the fixed case verdict follows independently,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/07_golden/golden_blocker_register.csv:GOLD-BLK-007,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-02 tooling; DS-02..05 source prerequisites BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-03,owner: Design Verification Owner; acquisition: Clear all predecessor source blockers then derive without Apollo output and independently review
GOLD-BLK-008,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,GOLD-016,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Approved parent numeric Golden live IF3 binding complete export schemas internal values display rounding checksums and independent approval,Approved parent numeric Golden and live IF3 authority,NOT_APPLICABLE,Repository export tools PDF inspection and checksum tools,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,NOT_APPLICABLE,NOT_APPLICABLE_NOT_SPECIFIED,Checksum-fixed live source and valid IF3 result after approved parent numeric Golden,Run only after live-source authority passes then compare internal and displayed quantities against independent format expectations,Immutable source IF3 CSV PDF and lineage manifest with producer versions and SHA-256,SHA-256 manifest over all retained evidence artifacts,No stale or raw bypass all required quantities present and internal versus rounded values are explicitly distinguished,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/07_golden/golden_blocker_register.csv:GOLD-BLK-008,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-02 export tooling; parent Golden authority BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-03,owner: Export Owner; acquisition: Run only after live-source authority passes then compare internal and displayed quantities against independent format expectations
PAR-BLK-001,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Reference identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Installed SPACER product STATICS module and historical Analyzer identities versions builds executable/service relationships and checksums,NONE,NOT_APPLICABLE,Installed product identity facility and SHA-256 tool,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement,NOT_APPLICABLE_NOT_SPECIFIED,Authorized machine access for DS-06 safe identity procedure,Apply DS-06 safe identity procedure on licensed machine,Authorized identity evidence bundle with version outputs installation manifest and SHA-256,SHA-256 over executable inputs outputs and retained artifacts,Every product module process and relationship is uniquely fixed with checksums,Blocks all actual parity,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv:PAR-BLK-001,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-04 parity harness; EA-03 SPACER identity runbook; actual capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-04,owner: Reference Software Owner; depends: NONE; numeric_impact: Blocks all actual parity
PAR-BLK-002,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Input and topology semantics,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Native input samples schemas field meanings IDs topology releases offsets orientation encoding and Apollo transformation,PAR-BLK-001,NOT_APPLICABLE,SPACER input facilities mapping tool and checksum tool,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement,NOT_APPLICABLE_NOT_SPECIFIED,Checksum-fixed minimal and asymmetric native/Apollo model pairs,Export permitted native inputs and map fields before comparing results,Mapping specification with field dictionary round-trip proofs bijective identity records and SHA-256 manifests,SHA-256 over executable inputs outputs and retained artifacts,Bijective identities and round-trip mappings cover every required entity with no ambiguity,Blocks semantic and numeric parity,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv:PAR-BLK-002,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-04 parity harness; EA-03 SPACER identity runbook; actual capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-04,owner: Model Mapping Owner; depends: PAR-BLK-001; numeric_impact: Blocks semantic and numeric parity
PAR-BLK-003,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Coordinates DOF I-J and signs,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER global local support bases DOF order I-J and all load action reaction signs,PAR-BLK-001;PAR-BLK-002,NOT_APPLICABLE,SPACER STATICS full-result facilities independent calculation and checksum tools,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement,NOT_APPLICABLE_NOT_SPECIFIED,Positive-component asymmetric reversal probe fixtures with declared sign conventions,Run all DS-06 coordinate/sign probes on fixed identity,Probe bundle with transformation matrices permutations sign vectors equilibrium worksheet and SHA-256 manifests,SHA-256 over executable inputs outputs and retained artifacts,Transformations are predefined invertible and close equilibrium within approved tolerance,Blocks signed numeric parity,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv:PAR-BLK-003,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-04 parity harness; EA-03 SPACER identity runbook; actual capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-04,owner: Parity Owner; depends: PAR-BLK-001;PAR-BLK-002; numeric_impact: Blocks signed numeric parity
PAR-BLK-004,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Load cases and combinations,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Native case/combination identities types components coefficients application rules and result contexts,PAR-BLK-001;PAR-BLK-002;PAR-BLK-003,NOT_APPLICABLE,SPACER STATICS native output mapping and checksum tools,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement,NOT_APPLICABLE_NOT_SPECIFIED,One-case and asymmetric two-case one-combination native/Apollo models,Run fixed models and construct reviewed bijective mapping before numeric comparison,Native/Apollo evidence bundles with bijective case and combination mapping worksheets and SHA-256 manifests,SHA-256 over executable inputs outputs and retained artifacts,Cases map one-to-one and combinations retain components coefficients and semantics or are explicitly unsupported,Blocks load and result parity,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv:PAR-BLK-004,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-04 parity harness; EA-03 SPACER identity runbook; actual capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-04,owner: Load Mapping Owner; depends: PAR-BLK-001;PAR-BLK-002;PAR-BLK-003; numeric_impact: Blocks load and result parity
PAR-BLK-005,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Actual numeric results,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Fixed version native internal-precision results and three-run reproducibility for approved parity cases,PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-006;PAR-BLK-007,NOT_APPLICABLE,SPACER STATICS Apollo analyzer comparison and checksum tools,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement,NOT_APPLICABLE_NOT_SPECIFIED,Approved Golden and parity models with fixed SPACER identity and closed PAR-BLK-001 through PAR-BLK-004 PAR-BLK-006 PAR-BLK-007 predecessors,Acquire after PAR-BLK-001 through PAR-BLK-004 and DS-07 Golden gates close,Three isolated native run bundles Apollo result bundle source/output checksums and full coverage comparison manifest,SHA-256 manifest over all retained evidence artifacts,All identities components units transformations tolerances and coverage pass without skipped data,Blocks actual numeric parity,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv:PAR-BLK-005,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-04 parity harness; EA-03 SPACER identity runbook; actual capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-04,owner: Numeric Parity Owner; depends: PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-006;PAR-BLK-007; numeric_impact: Blocks actual numeric parity
PAR-BLK-006,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Comparison implementation,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Fail-closed symmetric comparator coverage and approved tolerance behavior,NOT_APPLICABLE,NOT_APPLICABLE,Repository test runner and checksum tool,MUST_BE_CAPTURED_AND_FROZEN,NOT_APPLICABLE,NOT_APPLICABLE_NOT_SPECIFIED,Synthetic negative fixtures for missing extra duplicate malformed empty swapped operands and near-zero cases,Build a design-numeric-free evidence harness before release and independently validate against synthetic negative corpus,PAR-CMPVAL-BUNDLE-v1 versioned non-product comparator validation bundle with corpus manifest and SHA-256,SHA-256 over executable inputs outputs and retained artifacts,No false PASS for asymmetric missing malformed empty or near-zero data and version is fixed,Blocks automated parity claim,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv:PAR-BLK-006,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-04 parity harness; EA-05 dry run OPERATIONAL; organizational WI-001 sign-off BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-00,owner: Comparison Tool Owner; depends: NONE; numeric_impact: Blocks automated parity claim
PAR-BLK-007,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Materials and stiffness sources,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Adopted DS-02/DS-03 material values units applicability plus native property/formulation mapping,PAR-BLK-001;PAR-BLK-002;BLK-S1-002;BLK-S1-005,NOT_APPLICABLE,Authorized standards evidence SPACER STATICS and checksum tools,MUST_BE_CAPTURED_AND_FROZEN,Authorized standards access plus named SPACER entitlement,NOT_APPLICABLE_NOT_SPECIFIED,Immutable adopted DS-02/DS-03 source manifest rows for mapped materials and sections,Clear predecessor blockers then map fixed material and stiffness probes,Native/Apollo material and section mapping bundle with units formulation applicability proofs and SHA-256 manifests,SHA-256 over executable inputs outputs and retained artifacts,Every property is sourced and mapped with units formulation and applicability,Blocks material/stiffness/numeric parity,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv:PAR-BLK-007,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-04 parity harness; EA-03 SPACER identity runbook; actual capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-04,owner: Material Owner; register depends: PAR-BLK-001;PAR-BLK-002; source prerequisites: BLK-S1-002;BLK-S1-005; numeric_impact: Blocks material/stiffness/numeric parity
PAR-BLK-008,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Report drawing and file parity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Producer versions native internal/display values layouts file schemas encoding newline rounding and permitted samples,PAR-BLK-001;PAR-BLK-002;PAR-BLK-006,NOT_APPLICABLE,SPACER report/drawing/file facilities Apollo exports visual and checksum tools,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement,NOT_APPLICABLE_NOT_SPECIFIED,Checksum-fixed native and Apollo report drawing file inputs on fixed identities,Export on fixed identities retain permitted artifacts and compare only predeclared fields,Semantic field map with producer versions internal/display values layouts encoding newline rounding exclusions and SHA-256 manifests,SHA-256 over executable inputs outputs and retained artifacts,Field coverage producer identities precision rounding encoding and exclusions are explicit and approved,Blocks report drawing and file parity,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv:PAR-BLK-008,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-04 parity harness; EA-03 SPACER identity runbook; actual capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-04,owner: Output Owner; depends: PAR-BLK-001;PAR-BLK-002;PAR-BLK-006; numeric_impact: Blocks report drawing and file parity
EXT-ID-001,docs/apollo/design-standards/06_analyzer/analyzer_identity_register.csv,Historical APOLLO Analyzer external identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Installed product identity build architecture and relationship to repository solver and SPACER identities,Vendor-installed executable or service on authorized machine,Vendor-installed executable or service plus version facility,Vendor identity facility and SHA-256 tool,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement if required,Vendor-installed executable or service on authorized machine,No model required for identity capture,Use an authorized machine and redact secrets without altering identity fields,Executable or service metadata version output architecture publisher and installation manifest,SHA-256 manifest over all retained evidence artifacts,Identity and relationship evidence uniquely distinguish this subsystem from every other candidate,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/06_analyzer/analyzer_identity_register.csv:blocker_id=AN-BLK-001,safe_acquisition_procedure->exact_procedure; required_executable_or_service->required_software; baseline fields from EA-00 snapshot,EA-01 harness; EA-03 external run package (TOOLING_COMPLETE_NOT_MACHINE_EVIDENCE),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-02,canonical_id: AN-ID-004; SPV-003; blocker AN-BLK-001; manual reference-only not machine evidence
EXT-ID-002,docs/apollo/design-standards/06_analyzer/analyzer_identity_register.csv,SPACER product shell external identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Installed SPACER product identity build architecture modules and relationship to historical Analyzer,Vendor-installed SPACER executable or service,Vendor-installed SPACER executable or service plus version facility,Vendor identity facility and SHA-256 tool,MUST_BE_CAPTURED_AND_FROZEN,Named valid SPACER entitlement,Vendor-installed SPACER executable or service,No model required for identity capture,Use an authorized licensed machine and retain only permitted metadata,Product and module executables services version output publisher architecture and installation manifest,SHA-256 manifest over all retained evidence artifacts,Product shell and module identities are separately fixed and relationships are documented,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/06_analyzer/analyzer_identity_register.csv:blocker_id=AN-BLK-001,safe_acquisition_procedure->exact_procedure; required_executable_or_service->required_software; baseline fields from EA-00 snapshot,EA-01 harness; EA-03 external run package (TOOLING_COMPLETE_NOT_MACHINE_EVIDENCE),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-02,canonical_id: AN-ID-005; SPV-001; SPACER操作マニュアル.pdf SHA-256 e08681a290904c13c702ed864e0753d85e5c43201a5881c48766c0417aa7d012 reference-only
EXT-ID-003,docs/apollo/design-standards/06_analyzer/analyzer_identity_register.csv,SPACER STATICS module external identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,STATICS module identity invocation hosting process version and relationship to SPACER product shell,Vendor-installed hosting executable or service,Vendor-installed hosting executable or service plus module identity facility,Vendor identity facility and SHA-256 tool,MUST_BE_CAPTURED_AND_FROZEN,Named valid SPACER STATICS entitlement,Vendor-installed hosting executable or service,Checksum-fixed minimal supported DAT model after identity capture,Use an authorized licensed machine and a copied non-production fixture,Hosting executable module metadata version output and permitted logs,SHA-256 manifest over all retained evidence artifacts,STATICS is uniquely mapped to its host product process version and callable boundary,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/06_analyzer/analyzer_identity_register.csv:blocker_id=AN-BLK-001,safe_acquisition_procedure->exact_procedure; required_executable_or_service->required_software; baseline fields from EA-00 snapshot,EA-01 harness; EA-03 external run package (TOOLING_COMPLETE_NOT_MACHINE_EVIDENCE),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-02,canonical_id: AN-ID-006; SPV-002; PAR-BLK-001 dependency
GOLD-001,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-001 ANALYTICAL_GOLDEN,NOT_APPROVED,Independent derivation artifact required and tolerance worksheet,primary blocker GOLD-BLK-001,NOT_APPLICABLE,sympy closed-form beam workbook or equivalent hand calculation plus sha256sum,MUST_BE_CAPTURED_AND_FROZEN,NOT_APPLICABLE,NOT_APPLICABLE_NOT_SPECIFIED,examples/verification/beam/cantilever_tip_load.json checksum-fixed,Closed-form beam theory with independent dimensional and equilibrium review,GOLD-001-DERIV-PKG-v1 with signed N2 uy rz N1 fy mz quantities derivation workbook convention sheet and SHA-256 manifest over model plus derivation plus expected,SHA-256 over executable inputs outputs and retained artifacts,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-001; closure requires two agreeing independent derivations per D-005,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/07_golden/golden_case_catalog.csv:GOLD-001,derivation_method->exact_procedure; reference_software->required_software when applicable; baseline fields from EA-00 snapshot,EA-02 analytical golden package (COMPLETE; TOOLING_REVIEWED_NOT_GOLD_APPROVED),NOT_APPROVED; enablement does not approve case,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
