sheet_number,pdf_page,catalog_title,title_block_title,group,part,scale,bridge_name,work_name,route_name,date,revision,numbering_parity,catalog_title_parity,source_status,locator,notes
115,117,橋面排水工,旭高架橋 Aランプ PU15ｰAR2 橋面排水工,bridge_deck_drainage,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p117,
116,118,上部工検査路（その1）,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その1),superstructure_inspection,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p118,
117,119,上部工検査路（その2）,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その2),superstructure_inspection,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p119,
118,120,上部工検査路（その3）,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その3),superstructure_inspection,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p120,
119,121,上部工検査路（その4）,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その4),superstructure_inspection,4,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p121,
120,122,上部工検査路（その5）,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その5),superstructure_inspection,5,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p122,
121,123,上部工検査路（その6）,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その6),superstructure_inspection,6,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p123,
122,124,上部工検査路（その7）,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その7),superstructure_inspection,7,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p124,
123,125,上部工検査路（その8）,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その8),superstructure_inspection,8,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p125,
124,126,上部工検査路（その9）,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その9),superstructure_inspection,9,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p126,
125,127,上部工検査路（その10）,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その10),superstructure_inspection,10,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p127,
126,128,下部工検査路（その1）,旭高架橋 Aランプ PU15ｰAR2 下部工検査路(その1),substructure_inspection,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p128,
127,129,下部工検査路（その2）,旭高架橋 Aランプ PU15ｰAR2 下部工検査路(その2),substructure_inspection,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p129,
128,130,下部工検査路（その3）,旭高架橋 Aランプ PU15ｰAR2 下部工検査路(その3),substructure_inspection,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p130,
129,131,下部工検査路（その4）,旭高架橋 Aランプ PU15ｰAR2 下部工検査路(その4),substructure_inspection,4,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p131,
130,132,下部工検査路（その5）,旭高架橋 Aランプ PU15ｰAR2 下部工検査路(その5),substructure_inspection,5,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p132,
131,133,法面階段,旭高架橋 Aランプ PU15ｰAR2 法面階段,slope_stairs,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p133,
132,134,落下物防止柵 (参考図),旭高架橋 Aランプ PU15ｰAR2 落下物防止柵(参考図),falling_object_prevention,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p134,
133,135,剥落防止対策工（その1）,旭高架橋 Aランプ PU15ｰAR2 剥落防止対策工(その1),spalling_prevention,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p135,
134,136,剥落防止対策工（その2）,旭高架橋 Aランプ PU15ｰAR2 剥落防止対策工(その2),spalling_prevention,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p136,
135,137,段差防止構造（その1）,旭高架橋 Aランプ PU15ｰAR2 段差防止構造(その1),step_prevention,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p137,
136,138,段差防止構造（その2）,旭高架橋 Aランプ PU15ｰAR2 段差防止構造(その2),step_prevention,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p138,
137,139,橋名板・橋歴板 (参考図),旭高架橋 Aランプ PU15ｰAR2 橋名板・橋歴板(参考図),nameplate,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p139,
138,140,ノーズ部ガードレール (参考図)（その1）,旭高架橋 Aランプ PU15ｰAR2 ノーズ部ガードレール(参考図)(その1),nose_guardrail,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p140,
139,141,ノーズ部ガードレール (参考図)（その2）,旭高架橋 Aランプ PU15ｰAR2 ノーズ部ガードレール(参考図)(その2),nose_guardrail,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p141,
140,142,ノーズ部止水構造図 (参考図),旭高架橋 Aランプ PU15ｰAR2 ノーズ部止水構造図(参考図),nose_water_stop,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p142,
141,143,架設計画図,旭高架橋 Aランプ PU15ｰAR2 架設計画図,erection_plan,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p143,
