時間（秒）,Ⅱ-Ⅰ-１,Ⅱ-Ⅰ-２,Ⅱ-Ⅰ-３,Ⅱ-Ⅱ-１,Ⅱ-Ⅱ-２,Ⅱ-Ⅱ-３,Ⅱ-Ⅲ-１,Ⅱ-Ⅲ-２,Ⅱ-Ⅲ-３
5.34999999999993,-264.071 ,413.348 ,175.422 ,120.886 ,127.890 ,205.179 ,142.889 ,211.399 ,-283.308 
5.35999999999993,-292.203 ,390.721 ,173.642 ,120.520 ,139.495 ,202.362 ,148.173 ,213.120 ,-270.672 
5.36999999999993,-315.137 ,379.766 ,154.639 ,113.628 ,157.411 ,205.821 ,144.714 ,220.097 ,-264.228 
5.37999999999993,-318.012 ,385.726 ,128.558 ,101.461 ,179.519 ,204.282 ,144.721 ,232.480 ,-261.833 
5.38999999999993,-319.030 ,402.320 ,99.064 ,80.907 ,203.089 ,191.476 ,157.151 ,241.274 ,-257.180 
5.39999999999993,-320.143 ,434.033 ,68.026 ,48.133 ,227.034 ,194.273 ,160.281 ,243.352 ,-250.170 
5.40999999999993,-327.734 ,472.565 ,43.154 ,3.844 ,250.262 ,198.179 ,155.625 ,243.357 ,-246.824 
5.41999999999993,-343.380 ,516.840 ,28.702 ,-45.610 ,272.851 ,183.579 ,163.972 ,245.298 ,-247.953 
5.42999999999993,-364.924 ,562.919 ,19.719 ,-95.378 ,294.414 ,164.426 ,162.940 ,248.817 ,-248.340 
5.43999999999993,-397.705 ,605.644 ,15.666 ,-146.908 ,313.080 ,155.347 ,157.871 ,253.557 ,-251.213 
5.44999999999993,-430.966 ,651.644 ,19.288 ,-204.127 ,326.980 ,141.106 ,169.778 ,255.208 ,-257.098 
5.45999999999993,-472.286 ,674.409 ,28.534 ,-265.202 ,336.235 ,119.832 ,165.515 ,247.964 ,-257.129 
5.46999999999993,-516.449 ,699.465 ,42.167 ,-321.199 ,342.070 ,92.759 ,148.389 ,241.034 ,-258.989 
5.47999999999993,-564.671 ,673.679 ,57.903 ,-365.830 ,346.208 ,64.590 ,144.569 ,242.342 ,-270.774 
5.48999999999993,-616.147 ,639.521 ,71.871 ,-404.055 ,348.494 ,39.163 ,130.106 ,240.344 ,-278.332 
5.49999999999993,-671.471 ,548.275 ,80.398 ,-446.269 ,348.425 ,18.491 ,106.805 ,226.225 ,-275.609 
5.50999999999993,-728.959 ,439.808 ,79.688 ,-495.665 ,347.878 ,-3.448 ,89.948 ,207.436 ,-274.371 
5.51999999999993,-772.693 ,298.659 ,73.601 ,-539.695 ,350.821 ,-34.166 ,63.431 ,194.912 ,-278.489 
5.52999999999993,-812.020 ,144.629 ,65.129 ,-559.065 ,358.981 ,-56.976 ,34.200 ,186.269 ,-280.423 
5.53999999999993,-810.249 ,5.054 ,53.055 ,-546.675 ,370.393 ,-69.794 ,15.652 ,169.332 ,-272.881 
5.54999999999993,-796.393 ,-130.371 ,46.185 ,-612.813 ,381.007 ,-82.709 ,3.205 ,145.658 ,-259.070 
5.55999999999993,-722.073 ,-226.312 ,48.894 ,-594.658 ,394.206 ,-89.497 ,-9.756 ,127.299 ,-249.963 
5.56999999999993,-637.493 ,-307.968 ,55.130 ,-598.544 ,410.529 ,-106.844 ,-29.087 ,115.008 ,-243.219 
5.57999999999993,-507.445 ,-354.389 ,65.464 ,-519.232 ,420.992 ,-111.846 ,-33.926 ,103.674 ,-228.728 
5.58999999999993,-370.226 ,-391.254 ,77.469 ,-517.092 ,425.921 ,-107.024 ,-21.127 ,92.469 ,-211.240 
5.59999999999993,-232.600 ,-401.573 ,82.532 ,-482.666 ,427.152 ,-100.478 ,-28.594 ,83.950 ,-196.024 
5.60999999999993,-97.757 ,-409.338 ,80.260 ,-424.243 ,424.056 ,-99.435 ,-43.060 ,82.125 ,-182.630 
5.61999999999993,7.211 ,-384.647 ,74.022 ,-365.848 ,417.707 ,-96.656 ,-36.996 ,89.459 ,-172.223 
5.62999999999992,93.305 ,-357.236 ,64.241 ,-328.062 ,414.965 ,-89.874 ,-38.847 ,102.577 ,-161.016 
5.63999999999992,144.011 ,-300.222 ,51.969 ,-311.961 ,421.900 ,-80.034 ,-50.415 ,118.228 ,-148.937 
5.64999999999992,173.471 ,-240.203 ,40.967 ,-304.893 ,434.648 ,-74.137 ,-48.949 ,137.374 ,-140.104 
5.65999999999992,170.346 ,-182.945 ,31.949 ,-300.454 ,450.537 ,-76.811 ,-49.530 ,161.615 ,-138.625 
5.66999999999992,158.549 ,-135.909 ,21.431 ,-306.544 ,473.741 ,-86.783 ,-56.161 ,189.574 ,-138.072 
5.67999999999992,127.427 ,-135.882 ,11.337 ,-329.748 ,503.927 ,-99.187 ,-51.937 ,217.328 ,-135.191 
5.68999999999992,98.685 ,-143.800 ,3.044 ,-362.580 ,528.106 ,-114.899 ,-41.674 ,239.811 ,-136.862 
5.69999999999992,76.949 ,-196.484 ,-7.507 ,-391.803 ,536.749 ,-137.404 ,-39.322 ,257.156 ,-142.840 
5.70999999999992,60.111 ,-237.009 ,-16.191 ,-411.379 ,531.964 ,-167.441 ,-45.850 ,273.531 ,-148.822 
5.71999999999992,65.456 ,-250.276 ,-16.411 ,-423.167 ,516.778 ,-205.609 ,-45.035 ,286.950 ,-152.553 
5.72999999999992,81.701 ,-259.702 ,-9.838 ,-432.020 ,487.975 ,-241.477 ,-32.077 ,292.547 ,-156.476 
5.73999999999992,110.737 ,-184.022 ,0.571 ,-437.843 ,441.903 ,-268.152 ,-33.160 ,294.567 ,-160.453 
5.74999999999992,153.635 ,-110.565 ,11.537 ,-434.387 ,385.246 ,-295.465 ,-49.609 ,297.306 ,-161.560 
5.75999999999992,194.973 ,-17.301 ,20.340 ,-418.817 ,342.221 ,-316.208 ,-49.491 ,299.008 ,-158.690 
5.76999999999992,238.461 ,84.886 ,24.682 ,-398.353 ,290.932 ,-346.745 ,-35.690 ,301.114 ,-150.970 
5.77999999999992,275.459 ,144.888 ,19.241 ,-381.415 ,239.948 ,-349.557 ,-33.955 ,306.022 ,-142.167 
5.78999999999992,309.721 ,202.254 ,5.939 ,-368.082 ,193.223 ,-340.660 ,-39.014 ,310.237 ,-132.112 
5.79999999999992,328.153 ,246.509 ,-7.834 ,-353.272 ,149.736 ,-336.242 ,-30.492 ,310.561 ,-115.886 
5.80999999999992,350.205 ,285.291 ,-19.553 ,-337.365 ,107.294 ,-337.579 ,-9.778 ,309.044 ,-95.838 
5.81999999999992,354.361 ,334.897 ,-23.311 ,-325.825 ,66.304 ,-325.633 ,4.013 ,306.979 ,-76.931 
5.82999999999992,359.400 ,388.704 ,-15.751 ,-321.229 ,28.550 ,-312.196 ,7.520 ,297.034 ,-59.645 
5.83999999999992,354.181 ,436.718 ,-5.055 ,-320.228 ,-5.167 ,-300.286 ,16.994 ,273.754 ,-40.441 
5.84999999999992,340.171 ,473.879 ,4.431 ,-318.566 ,-35.468 ,-291.768 ,32.452 ,243.471 ,-17.301 
5.85999999999992,310.542 ,477.642 ,9.363 ,-313.484 ,-63.750 ,-296.272 ,39.562 ,212.819 ,4.061 
5.86999999999992,270.947 ,462.616 ,0.100 ,-305.178 ,-91.040 ,-296.637 ,41.912 ,175.955 ,20.074 
5.87999999999992,207.578 ,411.017 ,-22.489 ,-295.425 ,-116.516 ,-286.354 ,47.960 ,127.396 ,37.029 
5.88999999999992,141.238 ,359.561 ,-50.757 ,-284.199 ,-140.939 ,-276.021 ,53.030 ,77.357 ,58.170 
5.89999999999992,64.546 ,295.846 ,-80.637 ,-269.467 ,-166.362 ,-287.676 ,56.801 ,35.835 ,76.898 
5.90999999999992,-10.437 ,243.550 ,-101.069 ,-252.327 ,-194.004 ,-281.568 ,62.133 ,-3.698 ,94.085 
5.91999999999992,-67.279 ,204.975 ,-101.877 ,-236.387 ,-222.901 ,-260.889 ,66.656 ,-45.450 ,111.778 
5.92999999999992,-120.321 ,165.640 ,-85.489 ,-225.227 ,-251.704 ,-236.197 ,69.753 ,-82.255 ,129.492 
5.93999999999992,-144.322 ,139.331 ,-56.403 ,-220.797 ,-278.830 ,-214.106 ,69.075 ,-110.065 ,150.039 
5.94999999999992,-162.839 ,101.438 ,-20.855 ,-222.292 ,-303.068 ,-190.861 ,68.166 ,-131.451 ,172.246 
5.95999999999992,-170.887 ,66.587 ,9.007 ,-225.965 ,-325.427 ,-149.159 ,70.834 ,-148.700 ,192.721 
5.96999999999992,-175.544 ,23.710 ,24.894 ,-229.796 ,-345.963 ,-99.950 ,65.359 ,-164.369 ,214.658 
5.97999999999992,-182.951 ,-8.018 ,24.852 ,-235.019 ,-360.446 ,-63.437 ,55.384 ,-176.708 ,242.316 
5.98999999999992,-193.655 ,-42.644 ,8.744 ,-241.423 ,-367.878 ,-33.372 ,51.733 ,-182.430 ,269.997 
5.99999999999992,-205.070 ,-67.707 ,-18.652 ,-242.401 ,-372.949 ,7.154 ,42.512 ,-186.326 ,298.530 
6.00999999999992,-222.664 ,-87.588 ,-47.412 ,-231.149 ,-379.440 ,45.534 ,31.374 ,-192.479 ,330.965 
6.01999999999992,-240.459 ,-132.010 ,-69.658 ,-209.286 ,-383.951 ,62.022 ,25.531 ,-200.631 ,364.685 
6.02999999999992,-259.139 ,-171.117 ,-81.456 ,-182.007 ,-383.586 ,74.329 ,6.357 ,-208.455 ,397.642 
6.03999999999992,-282.898 ,-238.562 ,-80.947 ,-146.485 ,-381.879 ,99.464 ,-19.570 ,-217.686 ,430.903 
6.04999999999992,-308.160 ,-314.425 ,-69.446 ,-98.001 ,-382.190 ,101.321 ,-34.216 ,-230.650 ,465.452 
6.05999999999992,-332.880 ,-378.604 ,-50.158 ,-39.018 ,-383.360 ,99.846 ,-57.985 ,-248.143 ,497.451 
6.06999999999992,-360.127 ,-443.826 ,-26.136 ,24.356 ,-377.914 ,113.529 ,-100.040 ,-268.837 ,525.669 
6.07999999999992,-374.992 ,-468.059 ,-0.614 ,88.937 ,-368.880 ,119.961 ,-133.752 ,-291.988 ,551.551 
6.08999999999992,-383.564 ,-469.108 ,23.092 ,153.888 ,-357.341 ,114.006 ,-154.525 ,-317.226 ,572.860 
6.09999999999991,-369.149 ,-429.129 ,42.772 ,217.342 ,-343.695 ,124.896 ,-183.144 ,-344.556 ,592.953 
6.10999999999991,-349.329 ,-368.526 ,59.739 ,274.772 ,-327.074 ,138.784 ,-217.511 ,-373.888 ,608.203 
6.11999999999991,-303.820 ,-288.291 ,75.514 ,322.034 ,-307.135 ,143.826 ,-237.778 ,-404.405 ,615.777 
6.12999999999991,-254.615 ,-205.888 ,87.937 ,357.082 ,-284.657 ,142.872 ,-247.919 ,-435.046 ,619.186 
6.13999999999991,-201.205 ,-144.563 ,97.724 ,380.136 ,-261.152 ,146.188 ,-272.385 ,-464.478 ,619.047 
6.14999999999991,-135.280 ,-81.925 ,108.353 ,391.439 ,-238.247 ,142.954 ,-304.329 ,-491.418 ,613.136 
6.15999999999991,-81.625 ,-61.552 ,119.061 ,392.022 ,-216.189 ,128.551 ,-319.915 ,-516.003 ,599.240 
6.16999999999991,-21.828 ,-44.257 ,130.261 ,383.981 ,-194.543 ,109.835 ,-339.800 ,-535.759 ,578.152 
6.17999999999991,35.143 ,-41.466 ,144.781 ,370.663 ,-173.531 ,72.917 ,-375.532 ,-550.698 ,550.054 
6.18999999999991,85.674 ,-56.478 ,158.765 ,355.562 ,-155.516 ,35.933 ,-402.719 ,-557.427 ,517.857 
6.19999999999991,123.580 ,-68.711 ,166.259 ,342.133 ,-141.694 ,-5.780 ,-430.820 ,-552.556 ,481.935 
6.20999999999991,156.137 ,-87.692 ,166.919 ,332.702 ,-132.473 ,-55.204 ,-460.064 ,-538.912 ,439.848 
6.21999999999991,154.762 ,-121.617 ,159.321 ,329.188 ,-127.201 ,-109.375 ,-474.775 ,-518.707 ,394.492 
6.22999999999991,145.221 ,-148.502 ,140.343 ,332.338 ,-124.955 ,-162.858 ,-502.084 ,-488.750 ,352.920 
6.23999999999991,112.793 ,-169.283 ,112.124 ,341.138 ,-126.045 ,-211.735 ,-536.019 ,-447.350 ,314.133 
6.24999999999991,68.590 ,-192.239 ,79.548 ,352.877 ,-130.653 ,-249.657 ,-547.667 ,-399.667 ,277.862 
6.25999999999991,31.889 ,-179.283 ,49.129 ,366.036 ,-137.467 ,-282.415 ,-556.500 ,-351.292 ,246.960 
6.26999999999991,-3.096 ,-167.648 ,28.354 ,379.900 ,-144.941 ,-317.907 ,-572.754 ,-303.162 ,221.933 
6.27999999999991,-9.166 ,-138.181 ,19.121 ,392.827 ,-151.940 ,-335.138 ,-588.765 ,-253.058 ,201.910 
6.28999999999991,-1.961 ,-106.898 ,20.115 ,402.625 ,-158.633 ,-345.061 ,-591.034 ,-203.453 ,187.794 
6.29999999999991,36.418 ,-89.647 ,29.879 ,408.891 ,-165.663 ,-345.393 ,-568.095 ,-159.625 ,179.945 
6.30999999999991,84.379 ,-83.145 ,44.203 ,413.511 ,-174.273 ,-347.574 ,-544.964 ,-123.676 ,173.952 
6.31999999999991,143.592 ,-101.897 ,59.426 ,419.618 ,-183.975 ,-344.820 ,-519.096 ,-92.921 ,168.483 
6.32999999999991,207.078 ,-128.634 ,72.401 ,427.330 ,-193.053 ,-335.368 ,-466.381 ,-65.289 ,165.566 
6.33999999999991,259.166 ,-167.242 ,80.058 ,434.975 ,-202.036 ,-308.548 ,-402.220 ,-43.523 ,168.801 
6.34999999999991,307.778 ,-193.223 ,85.572 ,442.333 ,-213.482 ,-282.435 ,-327.581 ,-30.371 ,171.607 
6.35999999999991,344.275 ,-202.462 ,94.709 ,450.346 ,-226.653 ,-259.654 ,-242.168 ,-24.146 ,171.703 
6.36999999999991,369.656 ,-195.571 ,108.961 ,457.781 ,-238.415 ,-226.079 ,-161.199 ,-21.213 ,174.197 
6.37999999999991,391.566 ,-138.589 ,128.044 ,461.153 ,-246.304 ,-183.485 ,-74.784 ,-21.430 ,179.546 
6.38999999999991,404.821 ,-78.161 ,150.262 ,456.590 ,-250.561 ,-144.337 ,10.361 ,-26.648 ,185.402 
6.39999999999991,416.751 ,18.770 ,171.247 ,442.715 ,-252.095 ,-106.385 ,87.110 ,-36.635 ,190.773 
6.40999999999991,424.305 ,116.834 ,186.159 ,420.914 ,-250.431 ,-66.092 ,166.541 ,-47.633 ,193.705 
6.41999999999991,427.181 ,206.386 ,190.503 ,392.441 ,-243.400 ,-26.949 ,225.884 ,-59.607 ,198.585 
6.42999999999991,427.426 ,297.661 ,181.546 ,356.113 ,-231.418 ,4.705 ,266.785 ,-73.431 ,204.696 
6.43999999999991,418.946 ,354.422 ,159.372 ,312.642 ,-218.106 ,43.554 ,320.604 ,-90.205 ,209.804 
6.44999999999991,409.704 ,403.787 ,126.654 ,265.920 ,-206.557 ,83.684 ,364.809 ,-109.492 ,216.274 
6.45999999999991,387.701 ,408.895 ,90.719 ,220.071 ,-196.723 ,110.911 ,382.109 ,-132.599 ,223.455 
6.46999999999991,368.359 ,399.145 ,59.070 ,176.816 ,-188.204 ,136.589 ,398.915 ,-158.859 ,229.267 
6.47999999999991,337.694 ,346.901 ,32.411 ,137.232 ,-180.349 ,172.031 ,417.357 ,-189.373 ,238.760 
6.48999999999991,312.150 ,279.081 ,10.342 ,103.137 ,-173.039 ,209.133 ,424.113 ,-225.775 ,251.672 
6.49999999999991,283.441 ,185.971 ,-4.607 ,76.525 ,-165.955 ,243.801 ,425.159 ,-266.615 ,262.297 
6.50999999999991,256.251 ,86.854 ,-13.375 ,58.373 ,-157.883 ,265.461 ,425.753 ,-309.614 ,271.900 
6.51999999999991,231.739 ,-6.674 ,-20.405 ,49.288 ,-146.145 ,287.712 ,419.504 ,-352.543 ,283.262 
6.52999999999991,207.395 ,-91.798 ,-27.796 ,48.123 ,-129.212 ,329.382 ,404.204 ,-395.772 ,293.555 
6.53999999999991,184.341 ,-152.385 ,-35.111 ,53.075 ,-108.204 ,347.646 ,390.054 ,-438.178 ,300.807 
6.54999999999991,163.903 ,-203.351 ,-41.684 ,62.432 ,-85.893 ,360.950 ,380.776 ,-474.624 ,307.949 
6.55999999999991,143.572 ,-244.512 ,-46.037 ,73.917 ,-62.325 ,375.130 ,363.791 ,-502.128 ,312.751 
6.5699999999999,125.377 ,-283.331 ,-47.087 ,84.822 ,-35.858 ,387.671 ,335.361 ,-523.304 ,309.629 
6.5799999999999,113.126 ,-329.452 ,-46.989 ,94.012 ,-6.299 ,399.789 ,312.068 ,-537.925 ,306.722 
6.5899999999999,98.689 ,-374.023 ,-48.245 ,99.491 ,23.945 ,411.729 ,301.987 ,-542.941 ,307.023 
6.5999999999999,91.359 ,-420.922 ,-51.355 ,98.850 ,53.477 ,418.375 ,290.760 ,-537.995 ,301.569 
6.6099999999999,75.734 ,-464.290 ,-57.272 ,92.686 ,82.590 ,410.454 ,274.549 ,-526.204 ,288.760 
6.6199999999999,58.221 ,-475.985 ,-67.061 ,85.621 ,111.809 ,407.590 ,266.927 ,-508.731 ,274.155 
6.6299999999999,36.135 ,-483.079 ,-81.444 ,79.839 ,139.974 ,410.038 ,270.700 ,-484.891 ,263.251 
6.6399999999999,6.801 ,-456.538 ,-100.511 ,74.606 ,165.327 ,389.975 ,284.428 ,-456.728 ,250.435 
6.6499999999999,-19.953 ,-417.927 ,-120.312 ,70.097 ,186.620 ,356.747 ,302.548 ,-425.711 ,229.440 
6.6599999999999,-41.615 ,-364.044 ,-136.683 ,70.098 ,203.251 ,315.568 ,313.532 ,-390.955 ,202.549 
6.6699999999999,-61.704 ,-298.381 ,-150.986 ,76.598 ,216.238 ,286.520 ,328.035 ,-352.434 ,177.672 
6.6799999999999,-64.054 ,-209.559 ,-161.996 ,85.691 ,227.907 ,245.742 ,353.660 ,-313.811 ,154.326 
6.6899999999999,-64.320 ,-124.515 ,-162.933 ,91.486 ,237.825 ,198.188 ,374.565 ,-275.345 ,126.052 
6.6999999999999,-63.442 ,-11.142 ,-152.391 ,92.024 ,243.860 ,157.009 ,388.483 ,-233.835 ,92.353 
6.7099999999999,-61.662 ,95.079 ,-130.522 ,87.160 ,244.458 ,130.754 ,401.186 ,-189.363 ,57.922 
6.7199999999999,-71.891 ,190.846 ,-92.988 ,74.381 ,240.854 ,121.585 ,414.728 ,-146.105 ,27.311 
6.7299999999999,-82.413 ,280.608 ,-42.611 ,49.992 ,233.392 ,100.006 ,431.287 ,-107.307 ,-0.216 
6.7399999999999,-103.118 ,328.814 ,12.464 ,14.505 ,218.635 ,79.976 ,443.152 ,-71.015 ,-29.294 
6.7499999999999,-118.568 ,362.847 ,68.094 ,-28.497 ,193.640 ,88.437 ,450.150 ,-33.538 ,-60.182 
6.7599999999999,-124.227 ,364.361 ,117.427 ,-74.384 ,159.531 ,79.239 ,457.096 ,1.125 ,-87.078 
6.7699999999999,-127.202 ,360.407 ,151.717 ,-118.476 ,120.050 ,48.143 ,461.765 ,26.161 ,-106.096 
6.7799999999999,-108.608 ,353.349 ,167.752 ,-157.065 ,79.000 ,44.045 ,465.345 ,45.441 ,-125.311 
6.7899999999999,-89.095 ,355.227 ,167.075 ,-187.459 ,37.376 ,20.494 ,461.335 ,64.665 ,-144.314 
6.7999999999999,-64.202 ,367.589 ,155.978 ,-206.611 ,-4.353 ,-23.899 ,452.923 ,78.574 ,-156.920 
6.8099999999999,-26.479 ,382.364 ,142.614 ,-213.361 ,-44.294 ,-57.789 ,449.292 ,86.469 ,-166.066 
6.8199999999999,-2.198 ,395.784 ,133.219 ,-209.154 ,-78.702 ,-100.154 ,433.638 ,91.145 ,-174.753 
6.8299999999999,28.028 ,402.224 ,132.924 ,-197.831 ,-105.889 ,-141.387 ,412.591 ,93.472 ,-178.115 
6.8399999999999,57.844 ,370.004 ,143.084 ,-183.395 ,-128.160 ,-178.873 ,404.569 ,93.506 ,-174.407 
6.8499999999999,68.570 ,333.839 ,160.137 ,-168.680 ,-150.132 ,-218.690 ,388.596 ,94.034 ,-172.019 
6.8599999999999,68.895 ,253.159 ,178.891 ,-155.300 ,-173.697 ,-245.975 ,364.698 ,97.923 ,-173.837 
6.8699999999999,54.643 ,171.242 ,193.973 ,-145.753 ,-196.051 ,-259.378 ,346.735 ,103.893 ,-173.040 
6.8799999999999,-1.403 ,78.359 ,200.631 ,-141.941 ,-215.189 ,-269.223 ,323.598 ,111.736 ,-167.466 
6.8899999999999,-54.601 ,-13.706 ,196.360 ,-142.917 ,-236.464 ,-269.827 ,301.826 ,124.122 ,-166.233 
6.8999999999999,-123.648 ,-90.285 ,183.751 ,-146.833 ,-267.551 ,-254.855 ,277.790 ,143.853 ,-176.759 
6.9099999999999,-189.701 ,-154.292 ,167.861 ,-154.272 ,-309.331 ,-240.326 ,236.655 ,170.190 ,-193.483 
6.9199999999999,-213.214 ,-195.546 ,150.209 ,-166.140 ,-354.208 ,-220.295 ,201.137 ,196.057 ,-206.806 
6.9299999999999,-226.184 ,-224.376 ,132.910 ,-181.057 ,-395.396 ,-189.875 ,172.418 ,218.623 ,-218.530 
6.9399999999999,-187.772 ,-221.672 ,118.891 ,-195.502 ,-461.596 ,-164.184 ,127.065 ,242.412 ,-239.745 
6.9499999999999,-133.881 ,-222.139 ,106.191 ,-209.655 ,-532.921 ,-137.310 ,78.907 ,266.918 ,-268.557 
6.9599999999999,-64.029 ,-205.462 ,93.758 ,-225.024 ,-592.443 ,-109.338 ,40.405 ,284.328 ,-288.498 
6.9699999999999,8.574 ,-192.742 ,80.122 ,-237.332 ,-636.686 ,-93.281 ,0.230 ,290.340 ,-296.691 
6.9799999999999,61.425 ,-195.249 ,59.895 ,-239.044 ,-665.229 ,-76.762 ,-46.483 ,291.349 ,-305.136 
6.9899999999999,103.087 ,-201.835 ,32.977 ,-228.527 ,-672.639 ,-47.308 ,-92.033 ,290.167 ,-312.753 
6.9999999999999,125.780 ,-224.914 ,0.532 ,-208.548 ,-650.312 ,-22.777 ,-124.640 ,285.814 ,-311.717 
7.0099999999999,128.921 ,-262.225 ,-38.249 ,-178.939 ,-600.944 ,-39.903 ,-154.102 ,280.589 ,-303.559 
7.0199999999999,123.194 ,-293.454 ,-79.932 ,-137.355 ,-534.802 ,-26.004 ,-195.020 ,275.987 ,-291.155 
7.02999999999989,114.020 ,-329.000 ,-122.684 ,-86.664 ,-455.081 ,8.882 ,-228.198 ,272.288 ,-274.425 
7.03999999999989,99.056 ,-351.438 ,-164.183 ,-33.808 ,-368.847 ,8.424 ,-242.673 ,274.249 ,-258.076 
7.04999999999989,99.456 ,-360.200 ,-198.324 ,14.919 ,-302.340 ,-3.092 ,-261.697 ,285.890 ,-248.293 
7.05999999999989,113.199 ,-349.220 ,-219.884 ,56.618 ,-228.881 ,8.369 ,-290.935 ,299.539 ,-237.554 
7.06999999999989,132.505 ,-331.729 ,-225.109 ,91.098 ,-161.828 ,18.572 ,-310.114 ,309.025 ,-219.089 
7.07999999999989,187.527 ,-277.362 ,-219.822 ,119.316 ,-105.606 ,20.404 ,-317.039 ,318.424 ,-205.803 
7.08999999999989,240.146 ,-228.357 ,-205.896 ,141.370 ,-55.941 ,24.201 ,-326.008 ,331.194 ,-203.789 
7.09999999999989,301.594 ,-165.152 ,-172.728 ,158.256 ,-7.396 ,30.532 ,-337.603 ,340.233 ,-199.889 
7.10999999999989,356.143 ,-102.597 ,-132.404 ,173.660 ,39.940 ,36.944 ,-345.671 ,341.006 ,-189.227 
7.11999999999989,377.071 ,-51.771 ,-104.597 ,192.655 ,83.001 ,35.898 ,-347.693 ,335.281 ,-181.238 
7.12999999999989,383.617 ,-2.465 ,-80.608 ,218.271 ,120.508 ,57.093 ,-342.517 ,328.426 ,-178.968 
7.13999999999989,342.249 ,31.074 ,-56.618 ,250.273 ,154.084 ,91.575 ,-340.418 ,322.262 ,-178.898 
7.14999999999989,293.129 ,59.053 ,-43.312 ,283.848 ,184.838 ,98.374 ,-346.450 ,314.989 ,-178.439 
7.15999999999989,216.392 ,73.705 ,-39.007 ,315.562 ,211.572 ,96.211 ,-346.784 ,307.594 ,-179.330 
7.16999999999989,143.311 ,89.185 ,-37.446 ,345.790 ,231.923 ,120.577 ,-341.649 ,302.499 ,-185.654 
7.17999999999989,79.081 ,100.102 ,-34.262 ,373.233 ,245.770 ,170.971 ,-345.312 ,299.592 ,-194.832 
7.18999999999989,26.767 ,112.597 ,-26.191 ,390.850 ,254.195 ,185.404 ,-353.851 ,298.946 ,-204.783 
7.19999999999989,-11.445 ,125.704 ,-18.692 ,392.687 ,257.891 ,172.495 ,-355.538 ,299.842 ,-218.270 
7.20999999999989,-40.489 ,138.380 ,-16.872 ,379.438 ,254.915 ,157.237 ,-351.890 ,298.661 ,-233.616 
7.21999999999989,-69.171 ,152.512 ,-19.569 ,355.410 ,244.234 ,180.973 ,-346.440 ,291.893 ,-243.384 
7.22999999999989,-98.097 ,166.158 ,-29.671 ,322.337 ,227.824 ,215.399 ,-334.996 ,281.052 ,-249.493 
7.23999999999989,-138.430 ,161.986 ,-50.826 ,279.638 ,207.630 ,174.304 ,-317.789 ,266.893 ,-255.982 
7.24999999999989,-177.350 ,155.015 ,-82.260 ,227.635 ,184.606 ,105.198 ,-297.672 ,250.108 ,-260.815 
7.25999999999989,-222.819 ,125.598 ,-124.476 ,170.954 ,160.073 ,120.655 ,-269.983 ,228.482 ,-260.672 
7.26999999999989,-260.740 ,96.097 ,-171.797 ,116.204 ,135.392 ,136.793 ,-240.224 ,203.494 ,-252.689 
7.27999999999989,-286.887 ,70.521 ,-215.293 ,66.726 ,112.761 ,105.456 ,-225.478 ,178.505 ,-243.294 
7.28999999999989,-302.565 ,52.003 ,-257.443 ,20.414 ,93.807 ,59.915 ,-220.289 ,157.187 ,-240.936 
7.29999999999989,-297.482 ,61.181 ,-297.485 ,-23.894 ,78.677 ,39.664 ,-206.959 ,139.008 ,-237.674 
7.30999999999989,-287.303 ,85.575 ,-329.504 ,-62.339 ,66.321 ,55.861 ,-203.477 ,123.287 ,-230.459 
7.31999999999989,-268.299 ,135.120 ,-356.188 ,-90.784 ,56.948 ,67.271 ,-233.703 ,108.886 ,-225.557 
7.32999999999989,-256.650 ,192.068 ,-376.288 ,-109.215 ,50.950 ,46.106 ,-270.280 ,94.811 ,-225.603 
7.33999999999989,-257.985 ,237.103 ,-389.187 ,-119.682 ,48.166 ,18.766 ,-290.762 ,81.655 ,-225.858 
7.34999999999989,-277.583 ,272.734 ,-401.040 ,-123.983 ,48.246 ,15.455 ,-322.616 ,69.356 ,-225.405 
7.35999999999989,-325.024 ,274.973 ,-409.127 ,-121.253 ,49.831 ,11.832 ,-373.058 ,56.570 ,-225.894 
7.36999999999989,-393.044 ,272.987 ,-411.376 ,-108.692 ,50.713 ,0.948 ,-415.692 ,36.967 ,-223.195 
7.37999999999989,-470.254 ,262.668 ,-410.107 ,-86.885 ,51.410 ,-31.642 ,-442.864 ,10.165 ,-212.993 
7.38999999999989,-556.017 ,254.629 ,-402.851 ,-61.850 ,52.385 ,-94.403 ,-462.459 ,-12.404 ,-204.798 
7.39999999999989,-595.658 ,275.757 ,-391.441 ,-37.610 ,52.405 ,-131.177 ,-484.213 ,-28.673 ,-200.320 
7.40999999999989,-628.331 ,294.842 ,-376.590 ,-13.014 ,49.492 ,-151.549 ,-507.287 ,-48.088 ,-189.020 
7.41999999999989,-574.760 ,341.702 ,-352.392 ,13.598 ,44.473 ,-196.242 ,-511.183 ,-69.959 ,-169.826 
7.42999999999989,-500.105 ,384.700 ,-317.386 ,40.247 ,40.073 ,-241.212 ,-497.567 ,-83.792 ,-153.547 
7.43999999999989,-356.435 ,398.280 ,-273.419 ,63.901 ,38.017 ,-272.152 ,-492.603 ,-85.009 ,-145.593 
7.44999999999989,-201.788 ,406.470 ,-220.556 ,82.849 ,38.129 ,-290.059 ,-487.618 ,-79.127 ,-138.363 
