toc_id,parent_id,level,chapter_no,section_no,article_no,title,page,source_text,hierarchy_confidence,software_category,liner_relevance,rule_engine_candidate,project_mapping_candidate,body_research_priority,notes
T153,T148,4,3,1,5,都市部の道路の線形設計,339,3-1-5都市部の道路の線形設計,HIGH,HORIZONTAL_ALIGNMENT,P1_DIRECT_SUPPORT,RULE-06,NO,B,
T154,T148,4,3,1,6,第3種第5級・第4種第4級の道路の線形設計,339,3-1-6第3種第5級，第4種第4級の道路の線形設计,HIGH,HORIZONTAL_ALIGNMENT,P1_DIRECT_SUPPORT,RULE-06,NO,B,
T155,T148,4,3,1,7,本章の適用（仮）,340,317本章適用,LOW,HORIZONTAL_ALIGNMENT,P1_DIRECT_SUPPORT,RULE-06,NO,B,タイトルOCR不明瞭。HIERARCHY_UNCERTAIN。
T156,T147,3,3,2,,車道の屈曲部,341,3-2車道の屈曲部,HIGH,HORIZONTAL_ALIGNMENT,P0_DIRECT_CORE,RULE-06,YES,A,
T157,T147,3,3,3,,曲線半径,344,3-3曲線半径,MEDIUM,CURVE_RADIUS,P0_DIRECT_CORE,RULE-06,YES,A,節見出しのページ番号はOCRで「....」となり不確定（344前後）。
T158,T157,4,3,3,1,最小曲線半径,348,3-3-1最小曲線半径,HIGH,CURVE_RADIUS,P0_DIRECT_CORE,RULE-06,YES,A,
T159,T157,4,3,3,2,最小曲線半径の望ましい値,350,332最小曲線半径の望值,HIGH,CURVE_RADIUS,P0_DIRECT_CORE,RULE-06,YES,A,
T160,T157,4,3,3,3,適用の際の注意,353,3-3-3適用の際の注意,HIGH,CURVE_RADIUS,P0_DIRECT_CORE,RULE-06,YES,A,
T161,T147,3,3,4,,曲線長,353,3-4曲線長,HIGH,HORIZONTAL_ALIGNMENT,P0_DIRECT_CORE,RULE-07,YES,A,
T162,T161,4,3,4,1,最小曲線長,353,3-4-1最小曲線長,HIGH,HORIZONTAL_ALIGNMENT,P0_DIRECT_CORE,RULE-07,YES,A,
T163,T161,4,3,4,2,適用の際の注意,357,3-4-2適用の際の注意,HIGH,HORIZONTAL_ALIGNMENT,P0_DIRECT_CORE,RULE-07,YES,A,
T164,T147,3,3,5,,曲線部の片勾配,358,3-5曲線部の片勾配,HIGH,SUPERELEVATION,P0_DIRECT_CORE,RULE-08,YES,A,
T165,T164,4,3,5,1,曲線部の最大片勾配,359,3-5-1曲線部の最大片勾配,HIGH,SUPERELEVATION,P0_DIRECT_CORE,RULE-08,YES,A,
T166,T164,4,3,5,2,片勾配を打ち切る最小曲線半径,360,3-5-2片勾配打切最小曲線半径,HIGH,SUPERELEVATION;CURVE_RADIUS,P0_DIRECT_CORE,RULE-08;RULE-06,YES,A,
T167,T164,4,3,5,3,曲線半径と片勾配の値,362,3-5-3曲線半径片勾配の值,HIGH,SUPERELEVATION;CURVE_RADIUS,P0_DIRECT_CORE,RULE-08,YES,A,
T168,T164,4,3,5,4,適用の際の注意,369,3-5-4適用の际の注意,HIGH,SUPERELEVATION,P0_DIRECT_CORE,RULE-08,YES,A,
T169,T147,3,3,6,,曲線部の拡幅,372,3-6曲線部幅,HIGH,WIDENING,P0_DIRECT_CORE,RULE-09,YES,A,
T170,T169,4,3,6,1,曲線部の拡幅,372,3-61曲線部の幅,HIGH,WIDENING,P0_DIRECT_CORE,RULE-09,YES,A,
T171,T169,4,3,6,2,曲線部の拡幅量,374,3-6-2曲線部の幅量,HIGH,WIDENING,P0_DIRECT_CORE,RULE-09,YES,A,
T172,T169,4,3,6,3,適用の際の注意,381,3-6-3適用の際の注意,HIGH,WIDENING,P0_DIRECT_CORE,RULE-09,YES,A,
T173,T169,4,3,6,4,設計の際の注意,382,3-6-4設計の際の注意,HIGH,WIDENING,P0_DIRECT_CORE,RULE-09,YES,A,
T174,T147,3,3,7,,緩和区間,383,3-7缓和区,HIGH,CLOTHOID_OR_TRANSITION,P0_DIRECT_CORE,RULE-10,YES,A,クロソイド・緩和曲線の設計。LINERのclothoid segmentに直結。
T175,T174,4,3,7,1,概説,384,3-7-1概说,HIGH,CLOTHOID_OR_TRANSITION,P0_DIRECT_CORE,RULE-10,YES,A,
T176,T174,4,3,7,2,自動車の緩和走行軌跡,385,3-7-2自動車の缓和走行軌,HIGH,CLOTHOID_OR_TRANSITION,P0_DIRECT_CORE,RULE-10,YES,A,
T177,T174,4,3,7,3,緩和走行区間,387,3-73缓和走行間,HIGH,CLOTHOID_OR_TRANSITION,P0_DIRECT_CORE,RULE-10,YES,A,
T178,T174,4,3,7,4,緩和曲線の省略,393,3-7-4缓和曲の省略,HIGH,CLOTHOID_OR_TRANSITION;EXCEPTION_RULE,P0_DIRECT_CORE,RULE-10;RULE-23,YES,A,
T179,T147,3,3,8,,片勾配、拡幅等が変わる場合,398,3-8片勾配，幅等場合,HIGH,SUPERELEVATION;WIDENING,P0_DIRECT_CORE,RULE-08;RULE-09,YES,A,すりつけ区間の設計。
T180,T179,4,3,8,1,片勾配（のすりつけ）,399,3-81片勾配,HIGH,SUPERELEVATION,P0_DIRECT_CORE,RULE-08,YES,A,
T181,T179,4,3,8,2,拡幅（のすりつけ）,409,3-82幅の,HIGH,WIDENING,P0_DIRECT_CORE,RULE-09,YES,A,
T182,T179,4,3,8,3,車線数が増減する場合,411,3-8車線数增减場合,MEDIUM,CROSS_SECTION,P0_DIRECT_CORE,RULE-09;RULE-03,YES,A,見出し番号はOCRで「3-8」と読めず3-8-3相当と判断。要本文確認。
T183,T147,3,3,9,,制動停止視距・追越視距,413,3-9制動停止視距追越視距,HIGH,SIGHT_DISTANCE,P1_DIRECT_SUPPORT,RULE-11,YES,A,
T184,T183,4,3,9,1,概説,413,3-9-1概说,HIGH,SIGHT_DISTANCE,P1_DIRECT_SUPPORT,RULE-11,YES,A,
T185,T183,4,3,9,2,視距の計算,415,3-9-2視距の計算,HIGH,SIGHT_DISTANCE,P1_DIRECT_SUPPORT,RULE-11,YES,A,
T186,T183,4,3,9,3,視距の確保,422,3-9-3視距の確保,HIGH,SIGHT_DISTANCE,P1_DIRECT_SUPPORT,RULE-11,YES,A,
T187,T147,3,3,10,,縦断勾配,424,3-10断勾配,HIGH,LONGITUDINAL_GRADE,P0_DIRECT_CORE,RULE-12,YES,A,
T188,T187,4,3,10,1,普通道路の縦断勾配,425,3-10-1普通道路の断勾配,HIGH,LONGITUDINAL_GRADE,P0_DIRECT_CORE,RULE-12,YES,A,
T189,T187,4,3,10,2,普通道路の縦断勾配の特例値,433,3-10-2普通道路の断勾配の特例值,HIGH,LONGITUDINAL_GRADE;EXCEPTION_RULE,P0_DIRECT_CORE,RULE-12;RULE-23,YES,A,
T190,T187,4,3,10,3,小型道路の縦断勾配,439,3-10-3小型道路の断勾配,HIGH,LONGITUDINAL_GRADE,P0_DIRECT_CORE,RULE-12,YES,A,
T191,T187,4,3,10,4,適用の際の注意,442,3-10-4適用の際の注意,HIGH,LONGITUDINAL_GRADE,P0_DIRECT_CORE,RULE-12,YES,A,
T192,T147,3,3,11,,登坂車線,444,3-11登坂車線,HIGH,LONGITUDINAL_GRADE;CROSS_SECTION,P1_DIRECT_SUPPORT,RULE-12,NO,B,
T193,T192,4,3,11,1,概説,444,3-11-1概说,HIGH,LONGITUDINAL_GRADE;CROSS_SECTION,P1_DIRECT_SUPPORT,RULE-12,NO,B,
T194,T192,4,3,11,2,設置必要区間の設計,445,3-11-2設置必要区間の設計,HIGH,LONGITUDINAL_GRADE;CROSS_SECTION,P1_DIRECT_SUPPORT,RULE-12,NO,B,
T195,T192,4,3,11,3,付加追越車線との関係,451,3-11-3付加追越車線の係,HIGH,LONGITUDINAL_GRADE;CROSS_SECTION,P1_DIRECT_SUPPORT,RULE-12,NO,B,
T196,T147,3,3,12,,縦断曲線,452,3-12断曲線,HIGH,VERTICAL_CURVE,P0_DIRECT_CORE,RULE-13,YES,A,
T197,T196,4,3,12,1,縦断曲線,452,3-12-1断曲線,HIGH,VERTICAL_CURVE,P0_DIRECT_CORE,RULE-13,YES,A,
T198,T196,4,3,12,2,縦断曲線半径の望ましい値,464,3-12-2断曲線半径の望值,HIGH,VERTICAL_CURVE,P0_DIRECT_CORE,RULE-13,YES,A,
T199,T196,4,3,12,3,縦断曲線の中間値の計算,465,3-12-3断曲線の中間值の計算,HIGH,VERTICAL_CURVE,P0_DIRECT_CORE,RULE-13,YES,A,
T200,T147,3,3,13,,横断勾配,466,3-13横断勾配,HIGH,CROSS_SLOPE,P0_DIRECT_CORE,RULE-14,YES,A,
T201,T200,4,3,13,1,車道部の横断勾配,466,3-13-1車道部横断勾配,HIGH,CROSS_SLOPE,P0_DIRECT_CORE,RULE-14,YES,A,
T202,T200,4,3,13,2,歩道等の横断勾配（仮）,469,3-13-2步道の他,MEDIUM,CROSS_SLOPE;SIDEWALK,P1_DIRECT_SUPPORT,RULE-14,NO,B,タイトルOCR「步道の他」で続き不明。仮訳。
T203,T147,3,3,14,,合成勾配,470,3-14合成勾配,HIGH,CROSS_SLOPE;LONGITUDINAL_GRADE,P0_DIRECT_CORE,RULE-15,YES,A,
T204,T203,4,3,14,1,概説,471,3-14-1概,HIGH,CROSS_SLOPE;LONGITUDINAL_GRADE,P0_DIRECT_CORE,RULE-15,YES,A,
T205,T203,4,3,14,2,基準の算定（仮）,471,3-14-2基の算定,MEDIUM,CROSS_SLOPE;LONGITUDINAL_GRADE,P0_DIRECT_CORE,RULE-15,YES,A,タイトルOCR不明瞭。仮訳。
T206,T203,4,3,14,3,適用の際の注意,473,3-14-3適用の際の注意,HIGH,CROSS_SLOPE;LONGITUDINAL_GRADE,P0_DIRECT_CORE,RULE-15,YES,A,
T207,T055,2,4,,,第4章 平面交差,475,第4章平面交差,HIGH,INTERSECTION,P1_DIRECT_SUPPORT,RULE-17;RULE-11,YES,B,交差点幾何・隅切・右左折車線等。将来の交差点モジュール用。
T208,T207,3,4,1,,道路の役割・機能,475,4-1道路の役割機能,HIGH,INTERSECTION,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T209,T208,4,4,1,1,平面交差の計画・設計,475,4-1-1平面交差の計画·設計,HIGH,INTERSECTION,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T210,T208,4,4,1,2,幾何構造と交通制御,476,4-1-2何構造交通制御,HIGH,INTERSECTION,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T211,T208,4,4,1,3,幾何構造と交通安全,477,4-1-3何構造交通安全,HIGH,INTERSECTION;SAFETY_FACILITY,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T212,T208,4,4,1,4,設計車両・通行方法・設計速度,479,4-1-4設計車而通行方法設計速度,HIGH,INTERSECTION;DESIGN_SPEED;STRUCTURAL_REQUIREMENT,P1_DIRECT_SUPPORT,RULE-17;RULE-02,YES,B,
T213,T207,3,4,2,,平面交差点の形状・間隔,481,4-2平面交差点の形状間隔,HIGH,INTERSECTION,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T214,T213,4,4,2,1,枝数・交差角,481,4-2-1枝数交差角,HIGH,INTERSECTION,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T215,T213,4,4,2,2,交差点の形状,483,4-2-2交差点形状,HIGH,INTERSECTION,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T216,T213,4,4,2,3,交差点の間隔,486,4-2-3交差点間隔,HIGH,INTERSECTION,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T217,T207,3,4,3,,平面交差点付近の線形,489,4-3平面交差点付近の線形,HIGH,INTERSECTION;HORIZONTAL_ALIGNMENT,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T218,T217,4,4,3,1,交差点視距・交差点内の見通し,489,431交差点視距離交差点内の見通,HIGH,SIGHT_DISTANCE;INTERSECTION,P1_DIRECT_SUPPORT,RULE-11;RULE-17,YES,B,
T219,T217,4,4,3,2,曲線半径・縦断線形,492,4-3-2曲線半径断線形,HIGH,INTERSECTION;CURVE_RADIUS;LONGITUDINAL_GRADE,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T220,T207,3,4,4,,平面交差点付近の横断構成,495,4-4平面交差点付近の横断構成,HIGH,INTERSECTION;CROSS_SECTION,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T221,T220,4,4,4,1,車線幅員・車線数,495,4-4-1車線幅員車線数,HIGH,INTERSECTION;LANE_WIDTH,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T222,T220,4,4,4,2,本線,498,4-42本線,HIGH,INTERSECTION,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T223,T220,4,4,4,3,右折車線,499,4-4-3右折車線,HIGH,INTERSECTION,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T224,T220,4,4,4,4,左折車線,505,4-4-4左折車線,HIGH,INTERSECTION,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T225,T220,4,4,4,5,変速車線,506,4-4-5变速車線,HIGH,INTERSECTION,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T226,T207,3,4,5,,導流路、交通島・隅切り等,508,4-5導流路，交通島书隅切等,HIGH,INTERSECTION,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T227,T226,4,4,5,1,導流路,508,4-5-1導流路,HIGH,INTERSECTION,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T228,T226,4,4,5,2,交通島・分離帯,511,4-5-2交通島分離带,HIGH,INTERSECTION;MEDIAN,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T229,T226,4,4,5,3,交差点の通行方法・隅切り,514,4-5-3交差点の通行方法隅切,HIGH,INTERSECTION,P1_DIRECT_SUPPORT,RULE-17,YES,B,
T230,T226,4,4,5,4,歩道・車道,519,4-54步道車道,HIGH,INTERSECTION;SIDEWALK,P1_DIRECT_SUPPORT,RULE-17,NO,B,
T231,T207,3,4,6,,横断歩道、自転車横断帯・停止線,519,4-6横断步道，自車横断带上飞停止線,HIGH,INTERSECTION;SAFETY_FACILITY,P1_DIRECT_SUPPORT,RULE-17,NO,B,
T232,T231,4,4,6,1,横断歩道,519,4-6-1横断步道,HIGH,INTERSECTION;SAFETY_FACILITY,P1_DIRECT_SUPPORT,RULE-17,NO,B,
T233,T231,4,4,6,2,自転車横断帯,521,4-6-2自横断带,HIGH,INTERSECTION;BICYCLE,P1_DIRECT_SUPPORT,RULE-17,NO,B,
T234,T231,4,4,6,3,停止線,521,4-6-3停止線,HIGH,INTERSECTION;SAFETY_FACILITY,P1_DIRECT_SUPPORT,RULE-17,NO,B,
T235,T207,3,4,7,,（ラウンドアバウト・仮）,524,47,LOW,INTERSECTION,P2_FUTURE,RULE-17,NO,B,節タイトルがOCRで読めず（「4-7」と数字のみ）。構成要素と交通量の定義・適用条件からラウンドアバウトと推定。要本文確認。HIERARCHY_UNCERTAIN。
T236,T235,4,4,7,1,概説,524,4-7-1概说,HIGH,INTERSECTION,P2_FUTURE,RULE-17,NO,B,
T237,T235,4,4,7,2,構成要素と交通量の定義,525,4-7-2成要交通量定,MEDIUM,INTERSECTION,P2_FUTURE,RULE-17,NO,B,タイトルOCR不明瞭。仮訳。
T238,T235,4,4,7,3,適用条件と留意事項,526,4-7-3適用条件上留意事项,HIGH,INTERSECTION,P2_FUTURE,RULE-17;RULE-23,NO,B,
T239,T207,3,4,8,,二段横断施設,528,4-8二段横断施设,HIGH,INTERSECTION;SAFETY_FACILITY,P2_FUTURE,RULE-17,NO,C,
T240,T055,2,5,,,第5章 立体交差,529,第5章立体交差,HIGH,GRADE_SEPARATION;RAMP;JUNCTION,P1_DIRECT_SUPPORT,RULE-18;RULE-17,YES,B,インターチェンジ・ランプ・ジャンクション。実案件（東海JCT）と直接対応。
T241,T240,3,5,1,,概説,529,5-1概,HIGH,GRADE_SEPARATION,P1_DIRECT_SUPPORT,RULE-18,YES,B,
T242,T240,3,5,2,,立体交差の計画基準,530,5-2立体交差の计画基,HIGH,GRADE_SEPARATION,P1_DIRECT_SUPPORT,RULE-18,YES,B,
T243,T242,4,5,2,1,計画基準の具体的適用,530,5-2-1計画基の具体的適用,HIGH,GRADE_SEPARATION,P1_DIRECT_SUPPORT,RULE-18,YES,B,
T244,T242,4,5,2,2,立体交差構造の原則,533,5-2-2立体交差構造の原则,HIGH,GRADE_SEPARATION,P1_DIRECT_SUPPORT,RULE-18,YES,B,
T245,T242,4,5,2,3,普通道路・小型道路の分合流部,540,5-23普通道路小型道路の分合流部,HIGH,GRADE_SEPARATION,P1_DIRECT_SUPPORT,RULE-18,YES,B,
T246,T240,3,5,3,,交差点立体交差の計画・設計,542,5-3交差点立体交差の計画設計,HIGH,GRADE_SEPARATION;INTERSECTION,P1_DIRECT_SUPPORT,RULE-18,YES,B,
T247,T246,4,5,3,1,計画原則,542,5-31计画原则,HIGH,GRADE_SEPARATION,P1_DIRECT_SUPPORT,RULE-18,YES,B,
T248,T246,4,5,3,2,交差点立体交差の計画・設計,544,5-32交差点立体交差の計画設計,HIGH,GRADE_SEPARATION,P1_DIRECT_SUPPORT,RULE-18,YES,B,
T249,T246,4,5,3,3,連絡側道,545,5-3-3連结侧道,HIGH,GRADE_SEPARATION,P1_DIRECT_SUPPORT,RULE-18,YES,B,
T250,T246,4,5,3,4,立体交差の流入出部,546,5-3-4立体交差流出入部,HIGH,GRADE_SEPARATION;RAMP,P1_DIRECT_SUPPORT,RULE-18,YES,B,
T251,T240,3,5,4,,インターチェンジ等（計画・設計基準・仮）,547,54計画計基,MEDIUM,RAMP;JUNCTION,P1_DIRECT_SUPPORT,RULE-18,YES,B,ページ範囲548〜607と広大。IC/JCTの計画設計基準と推定。タイトルOCR不明瞭。要本文確認。
T252,T251,4,5,4,1,位置決定,548,5-4-1位置定,HIGH,RAMP;JUNCTION,P1_DIRECT_SUPPORT,RULE-18,YES,B,
T253,T251,4,5,4,2,形式決定,550,5-4-2形式定,HIGH,RAMP;JUNCTION,P1_DIRECT_SUPPORT,RULE-18,YES,B,
T254,T251,4,5,4,3,形式の特性,558,5-4-3形式特性,HIGH,RAMP;JUNCTION,P1_DIRECT_SUPPORT,RULE-18,YES,B,
T255,T251,4,5,4,4,基本（的基準・仮）,564,5-4-4基,LOW,RAMP;JUNCTION,P1_DIRECT_SUPPORT,RULE-18,YES,B,タイトルOCR不明瞭。仮訳。
T256,T251,4,5,4,5,交通安全対策,607,545夕安全对策,HIGH,RAMP;JUNCTION;SAFETY_FACILITY,P1_DIRECT_SUPPORT,RULE-18,YES,B,
T257,T055,2,6,,,第6章 鉄道等との交差,609,第6章鉄道等の交差,HIGH,GRADE_SEPARATION;TUNNEL,P4_OUT_OF_SCOPE,NO,NO,C,鉄道交差はLINER対象外。
T258,T257,3,6,1,,鉄道等との立体交差,609,6-1铁道等の立体交差,HIGH,GRADE_SEPARATION,P4_OUT_OF_SCOPE,NO,NO,C,
T259,T258,4,6,1,1,交差の基準,609,6-1-1交差の基,HIGH,GRADE_SEPARATION,P4_OUT_OF_SCOPE,NO,NO,C,
T260,T258,4,6,1,2,交差部の構造上の注意,610,6-1-2交差部の構造上の注意,HIGH,GRADE_SEPARATION,P4_OUT_OF_SCOPE,NO,NO,C,
T261,T257,3,6,2,,鉄道等との平面交差,613,6-2铁道等の平面交差,HIGH,INTERSECTION,P4_OUT_OF_SCOPE,NO,NO,C,
T262,T261,4,6,2,1,交差角,613,6-2-1交差角,HIGH,INTERSECTION,P4_OUT_OF_SCOPE,NO,NO,C,
T263,T261,4,6,2,2,取付区間の平面線形・縦断勾配,614,6-2-2取付区間の平面線形招断勾配,HIGH,HORIZONTAL_ALIGNMENT;LONGITUDINAL_GRADE,P4_OUT_OF_SCOPE,NO,NO,C,
T264,T261,4,6,2,3,見通し区間の長さ,614,6-23見通区間の長,HIGH,SIGHT_DISTANCE,P4_OUT_OF_SCOPE,NO,NO,C,
T265,T261,4,6,2,4,踏切道の幅員,616,6-2-4踏切道の幅員,HIGH,CROSS_SECTION,P4_OUT_OF_SCOPE,NO,NO,C,
T266,T055,2,7,,,第7章 自転車専用道路等・歩行者専用道路・歩車共存道路等,617,第7章自車专用道路等，步行者专用道路书上7步車共存道路等,HIGH,BICYCLE;SIDEWALK,P2_FUTURE,RULE-19;RULE-03,NO,C,
T267,T266,3,7,1,,自転車専用道路等,617,7-1自車專用道路等,HIGH,BICYCLE,P2_FUTURE,RULE-19;RULE-03,NO,C,
T268,T267,4,7,1,1,概説,618,7-1-1概说,HIGH,BICYCLE,P2_FUTURE,RULE-19,NO,C,
T269,T267,4,7,1,2,自転車専用道路等の幅員・建築限界,619,7-1-2自車専用道路等の幅員建築限界,HIGH,BICYCLE;CLEARANCE,P2_FUTURE,RULE-19;RULE-16,NO,C,
T270,T267,4,7,1,3,自転車専用道路等の構造,621,7-1-3自車专用道路等の構造,HIGH,BICYCLE,P2_FUTURE,RULE-19,NO,C,
T271,T266,3,7,2,,歩行者専用道路,622,7-2步行者专用道路,HIGH,SIDEWALK,P2_FUTURE,RULE-03,NO,C,
T272,T271,4,7,2,1,概説,622,7-2-1概,HIGH,SIDEWALK,P2_FUTURE,RULE-03,NO,C,
T273,T271,4,7,2,2,歩行者専用道路の構造,623,7-2-2步行者専用道路の構造,HIGH,SIDEWALK,P2_FUTURE,RULE-03,NO,C,
T274,T271,4,7,2,3,附属施設,625,07-2-3附属施設,HIGH,SIDEWALK,P2_FUTURE,RULE-03,NO,C,
T275,T266,3,7,3,,歩車共存道路等,626,7-3步車共存道路等,HIGH,SIDEWALK;BICYCLE,P2_FUTURE,RULE-03,NO,C,
T276,T275,4,7,3,1,概説,626,7-3-1概说,HIGH,SIDEWALK;BICYCLE,P2_FUTURE,RULE-03,NO,C,
T277,T275,4,7,3,2,歩車共存道路等の必要性,626,7-3-2步車共存道路等の必要性,HIGH,SIDEWALK;BICYCLE,P2_FUTURE,RULE-03,NO,C,
T278,T275,4,7,3,3,歩車共存道路等の種類,627,7-3-3步車共存道路等の種類,HIGH,SIDEWALK;BICYCLE,P2_FUTURE,RULE-03,NO,C,
T279,T275,4,7,3,4,計画・設計時の留意点,629,7-3-4計画·設計時の留意点,HIGH,SIDEWALK;BICYCLE,P2_FUTURE,RULE-03,NO,C,
T280,T275,4,7,3,5,歩車共存道路等の構造,631,7-3-5步車共存道路等の構造,HIGH,SIDEWALK;BICYCLE,P2_FUTURE,RULE-03,NO,C,
T281,T055,2,8,,,第8章 土工、舗装、道路構造物,635,第8章土工，舖装道路構造物,HIGH,STRUCTURAL_REQUIREMENT;BRIDGE;TUNNEL;DRAINAGE,P1_DIRECT_SUPPORT,RULE-23,YES,B,橋梁・高架（8-5）はLINER上部工連携に重要。土工・舗装・排水はP3。
T282,T281,3,8,1,,路体・路床,635,8-1路体路床,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T283,T282,4,8,1,1,構造,635,8-1-1造,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T284,T282,4,8,1,2,路体,635,8-1-2路体,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T285,T282,4,8,1,3,路床,635,8-1-3路床,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T286,T282,4,8,1,4,路体・路床の構造基準,636,8-1-4路体路床構造の基,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T287,T281,3,8,2,,舗装,637,8-2舖装,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T288,T287,4,8,2,1,舗装,637,8-21舖装,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T289,T287,4,8,2,2,舗装の設計,638,8-2-2舖装の設計,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T290,T287,4,8,2,3,舗装構造の基準,639,8-2-3舖装構造の基弹,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T291,T281,3,8,3,,排水施設,640,8-3排水施,HIGH,DRAINAGE,P3_REFERENCE,NO,NO,C,
T292,T291,4,8,3,1,道路排水の分類,640,8-3-1道路排水の分類,HIGH,DRAINAGE,P3_REFERENCE,NO,NO,C,
T293,T291,4,8,3,2,路面の形状,640,8-3-2路面の形状,HIGH,DRAINAGE;CROSS_SLOPE,P3_REFERENCE,NO,NO,C,
T294,T291,4,8,3,3,排水施設構造の基準,641,8-3-3排水施設構造の基,HIGH,DRAINAGE,P3_REFERENCE,NO,NO,C,
T295,T281,3,8,4,,法面・擁壁等（仮）,641,84法,LOW,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,節タイトルOCR不明（「84 法」）。法面・擁壁等と推定。要本文確認。HIERARCHY_UNCERTAIN。
T296,T295,4,8,4,1,（タイトルOCR不明）,641,8-4-1,LOW,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,HIERARCHY_UNCERTAIN。
T297,T295,4,8,4,2,（タイトルOCR不明）,642,8-4-2,LOW,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,HIERARCHY_UNCERTAIN。
T298,T295,4,8,4,3,構造設計,642,8-4-3構造設計,MEDIUM,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T299,T295,4,8,4,4,附属施設,644,8-4-4附属施設,MEDIUM,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T300,T281,3,8,5,,橋、高架の道路等,645,8-5橋，高架の道路等,HIGH,BRIDGE,P1_DIRECT_SUPPORT,RULE-23;RULE-16,YES,A,道路構造令における橋梁・高架。LINER上部工・橋梁連携で最重要の1節。
T301,T300,4,8,5,1,構造,645,8-5-1構造,HIGH,BRIDGE,P1_DIRECT_SUPPORT,RULE-23,YES,A,
T302,T300,4,8,5,2,設計自動車荷重,645,8-5-2設計自動車荷重,HIGH,BRIDGE,P1_DIRECT_SUPPORT,RULE-23,YES,A,
T303,T300,4,8,5,3,構造の基準,646,8-5-3構造の基,HIGH,BRIDGE,P1_DIRECT_SUPPORT,RULE-23,YES,A,
T304,T300,4,8,5,4,小規模吊橋等,646,8-5-4小规模吊橋等,HIGH,BRIDGE,P1_DIRECT_SUPPORT,RULE-23,NO,B,
T305,T055,2,9,,,第9章 道路の附属施設,647,第9章道路の附属施設,HIGH,SAFETY_FACILITY;DRAINAGE,P3_REFERENCE,NO,NO,C,
T306,T305,3,9,1,,待避所,647,9-1待避所,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
T307,T305,3,9,2,,交通安全施設,648,9-2交通安全施,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
T308,T307,4,9,2,1,立体横断施設,650,9-2-1立体横断施設,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
T309,T307,4,9,2,2,自動運行補助施設,651,9-2-2自動運行補助施設,HIGH,SAFETY_FACILITY,P2_FUTURE,RULE-23,NO,C,令和2年改正で追加された新規定。
T310,T307,4,9,2,3,防護柵,653,9-2-3防護栅,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
T311,T307,4,9,2,4,照明施設,655,9-2-4照明施設,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
T312,T307,4,9,2,5,視線誘導標,656,9-2-5視線誘導標,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
T313,T307,4,9,2,6,（タイトルOCR不明）,656,9-2-6,LOW,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,HIERARCHY_UNCERTAIN。
T314,T307,4,9,2,7,道路反射鏡,657,9-2-7道路反射镜,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
T315,T305,3,9,3,,交通管理施設,658,9-3交通管理施,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
