source_record_id,pdf_page_number,formula_label_raw,expression_raw,variable_symbols,referenced_standard_raw,semantic_class,source_locator,confidence,verification_status
CH5-FORM-002,2032,2次形状係数S2,"S2 = Min(a,b)/Σte",a:橋軸方向寸法 b:橋軸直角方向寸法 Σte:ゴム総厚,,SECTION_PROPERTY,calc_pdf_p2032,HIGH,UNVERIFIED
CH5-FORM-003,2032,縦弾性係数E,E = α*β*S1*Ge (S1≧5),α:種類係数(鉛プラグ入り=45) β:平面形状係数 Ge:せん断弾性係数,,elastic_modulus,calc_pdf_p2032,HIGH,UNVERIFIED
CH5-FORM-004,2032,等価剛性KB(温度変化),KB = Ae*G(γ)/Σte,Ae:有効面積 G(γ):等価せん断弾性係数 Σte:ゴム総厚,,MATERIAL_PROPERTY,calc_pdf_p2032,HIGH,UNVERIFIED
CH5-FORM-005,2032,圧縮剛性KV,KV = E*Ae/Σte,E:縦弾性係数 Ae:有効面積 Σte:ゴム総厚,,MATERIAL_PROPERTY,calc_pdf_p2032,HIGH,UNVERIFIED
CH5-FORM-006,2032,等価せん断弾性係数G(γ),G(γ) = cγ(γ)*Ge + q(γ)*κ/γ,cγ:ひずみ依存係数 Ge:せん断弾性係数 q:鉛プラグせん断応力度 κ:面積比 γ:せん断ひずみ,,MATERIAL_PROPERTY,calc_pdf_p2032,HIGH,UNVERIFIED
CH5-FORM-007,2032,鉛プラグ面積Ap,Ap = N*π*φd^2/4,N:本数 φd:鉛プラグ径,,SECTION_PROPERTY,calc_pdf_p2032,HIGH,UNVERIFIED
CH5-FORM-008,2033,合成剛性Km,1/Km = 1/(N*KB) + 1/KP,N:支承数 KB:等価剛性 KP:下部剛性,,MATERIAL_PROPERTY,calc_pdf_p2033,HIGH,UNVERIFIED
CH5-FORM-009,2035,温度変化水平力Ht,Ht = Km*⊿Lt,Km:合成剛性 ⊿Lt:移動量,,LOAD_VALUE,calc_pdf_p2035,HIGH,UNVERIFIED
CH5-FORM-010,2037,レベル1上部工移動量UBⅠo,UBⅠo = ΣW*kh/ΣKm,ΣW:全死荷重 kh:水平震度 ΣKm:合成剛性和,,deflection,calc_pdf_p2037,HIGH,UNVERIFIED
CH5-FORM-011,2040,最大圧縮応力度σmax,σmax = Rmax1/Acn,Rmax1:最大反力 Acn:移動量控除支圧面積,,DESIGN_RESULT,calc_pdf_p2040,HIGH,UNVERIFIED
CH5-FORM-012,2040,圧縮応力振幅Δσ,Δσ = σmax - σmin,σmax:最大 σmin:最小応力度,,DESIGN_RESULT,calc_pdf_p2040,HIGH,UNVERIFIED
CH5-FORM-013,2041,せん断ひずみγs,γs = ⊿L/Σte,⊿L:支承移動量 Σte:ゴム総厚,,DESIGN_RESULT,calc_pdf_p2041,HIGH,UNVERIFIED
CH5-FORM-014,2042,回転変位δr,δr = (a*sinθ+b*cosθ)/2*Σαe,a:橋軸方向 b:直角方向 θ:斜角 Σαe:回転角,,rotation,calc_pdf_p2042,HIGH,UNVERIFIED
CH5-FORM-015,2042,圧縮変位δc,δc = Rmax2/Kv,Rmax2:最大反力 Kv:圧縮剛性,,deflection,calc_pdf_p2042,HIGH,UNVERIFIED
CH5-FORM-016,2042,局部せん断ひずみγt,γt = γc + γs + γr,γc:圧縮作用 γs:水平変位 γr:回転変位,,DESIGN_RESULT,calc_pdf_p2042,HIGH,UNVERIFIED
CH5-FORM-017,2138,照査基本式,"ΣSi(γpi*γqi*Pi) ≦ ξ1*ξ2*ΦR(fc,Δc)",γpi:荷重係数 γqi:組合せ係数 ξ1:調査解析係数 ξ2:部材構造係数 ΦR:抵抗係数,,FORMULA_DEFINITION,calc_pdf_p2138,HIGH,UNVERIFIED
CH5-FORM-018,2138,支圧応力度制限値,σbyd = ξ1*ΦB*α*σbk,ξ1:調査解析係数 ΦB:抵抗係数 α:補正係数 σbk:支圧強度特性値,,stress_limit,calc_pdf_p2138,HIGH,UNVERIFIED
CH5-FORM-019,2138,曲げ引張応力度制限値,σtud = ξ1*ξ2*ΦUt*σyk,ξ1:調査解析係数 ξ2:部材構造係数 ΦUt:抵抗係数 σyk:降伏強度特性値,,stress_limit,calc_pdf_p2138,HIGH,UNVERIFIED
CH5-FORM-020,2138,合成応力度照査式,(σbd/σtyd)^2 + (τbd/τud)^2 ≦ 1.2,σbd:曲げ応力度 σtyd:制限値 τbd:せん断応力度 τud:せん断制限値,,DESIGN_RESULT,calc_pdf_p2138,HIGH,UNVERIFIED
CH5-FORM-021,2199,通水断面積A,A = h*B*1/2,h:深さ B:通水幅,,SECTION_PROPERTY,calc_pdf_p2199,HIGH,UNVERIFIED
CH5-FORM-022,2199,径深R,R = A/P,A:通水断面積 P:潤辺長,,SECTION_PROPERTY,calc_pdf_p2199,HIGH,UNVERIFIED
CH5-FORM-023,2199,設計通水量Q,Q = (1/n)*R^(2/3)*i2^(1/2)*A,n:粗度係数 R:径深 i2:水面勾配 A:通水断面積,,NOTE,calc_pdf_p2199,HIGH,UNVERIFIED
CH5-FORM-024,2200,排水桝最大間隔Ls,Ls = Q/(q*γ*e),Q:設計通水量 q:流出量 γ:落下率 e:余裕率,,DIMENSION,calc_pdf_p2200,HIGH,UNVERIFIED
CH5-FORM-025,2207,温度変化伸縮量,ΔLt = α*L*⊿T,α:線膨張係数 L:伸縮桁長 ⊿T:温度差,,deflection,calc_pdf_p2207,HIGH,UNVERIFIED
CH5-FORM-026,2207,地震時(⑩)伸縮量,ΔLq = EQmax*CB + LA,EQmax:レベル1移動量 CB:補正係数 LA:余裕量,,deflection,calc_pdf_p2207,HIGH,UNVERIFIED
CH5-FORM-027,2222,フィンガー遊間b(常時),b = (+)ΔLt + bmin,(+)ΔLt:温度伸び bmin:最小遊間,,DIMENSION,calc_pdf_p2222,HIGH,UNVERIFIED
CH5-FORM-028,2222,フィンガーラップc(常時),c = (-)ΔLt + cmin,(-)ΔLt:温度縮み cmin:最小ラップ,,DIMENSION,calc_pdf_p2222,HIGH,UNVERIFIED
CH5-FORM-029,2222,フィンガー長L0,L0 = b + c + 15,b:遊間 c:ラップ,,DIMENSION,calc_pdf_p2222,HIGH,UNVERIFIED
CH5-FORM-030,2224,フェイスプレート曲げM,M = (1/2)*P*(1+i)*L0,P:輪荷重 i:衝撃係数 L0:フィンガー長,,member_force,calc_pdf_p2224,HIGH,UNVERIFIED
CH5-FORM-031,2224,フェイスプレート厚t1,t1 = √(6*M/(B*σ)),M:曲げモーメント B:抵抗幅 σ:曲げ応力度制限値,,DIMENSION,calc_pdf_p2224,HIGH,UNVERIFIED
CH5-FORM-032,2225,ジベルせん断耐力Qu,Qu = 0.90*0.85*[1.85*{π*(d^2-φst^2)/4*f'cd + π*φst^2/4*fud} - 26.1*10^3]/γb,d:孔径 φst:鉄筋径 f'cd:コンクリート強度 fud:鉄筋引張強度 γb:部材係数,,DESIGN_RESULT,calc_pdf_p2225,HIGH,UNVERIFIED
